Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359086.49,47.225,1800.0,33.3,8.4
1699359086.497,47.712,1800.0,0.0,8.4
1699359086.504,47.712,1800.0,33.3,8.4
1699359086.512,47.712,1800.0,33.3,8.4
1699359086.519,48.199,1800.0,0.0,8.4
1699359086.526,48.199,1800.0,33.3,8.4
1699359086.533,48.199,1800.0,33.3,8.4
1699359086.54,48.199,1800.0,33.3,8.4
1699359086.547,48.199,1800.0,0.0,8.4
1699359086.554,48.199,1800.0,33.3,8.4
1699359086.561,48.199,1800.0,33.3,8.4
1699359086.569,47.225,1800.0,33.3,8.4
1699359086.576,47.225,1800.0,33.3,8.4
1699359086.583,47.225,1800.0,0.0,8.4
1699359086.59,47.712,1800.0,33.3,8.4
1699359086.597,47.712,1800.0,33.3,8.4
1699359086.604,47.712,1800.0,0.0,8.4
1699359086.612,46.738,1800.0,33.3,8.4
1699359086.619,46.738,1800.0,0.0,8.4
1699359086.626,46.738,1800.0,33.3,8.4
1699359086.634,48.686,1800.0,33.3,8.4
1699359086.641,48.686,1800.0,50.0,8.4
1699359086.648,48.686,1800.0,0.0,8.4
1699359086.655,47.225,1800.0,25.0,8.4
1699359086.663,47.225,1800.0,33.3,8.4
1699359086.67,47.225,1800.0,0.0,8.4
1699359086.677,48.199,1800.0,33.3,8.4
1699359086.684,48.199,1800.0,33.3,8.4
1699359086.692,48.199,1800.0,33.3,8.4
1699359086.699,47.225,1800.0,0.0,8.4
1699359086.707,47.225,1800.0,25.0,8.4
1699359086.714,47.225,1800.0,33.3,8.4
1699359086.721,46.251,1800.0,33.3,8.4
1699359086.729,46.251,1800.0,33.3,8.4
1699359086.736,46.251,1800.0,33.3,8.4
1699359086.744,47.712,1800.0,0.0,8.4
1699359086.752,47.712,1800.0,33.3,8.4
1699359086.759,47.712,1800.0,0.0,8.4
1699359086.766,46.738,1800.0,33.3,8.4
1699359086.774,46.738,1800.0,33.3,8.4
1699359086.781,46.738,1800.0,0.0,8.4
1699359086.789,47.225,1800.0,33.3,8.4
1699359086.796,47.225,1800.0,50.0,8.4
1699359086.804,47.225,1800.0,0.0,8.4
1699359086.811,46.738,1800.0,33.3,8.4
1699359086.818,46.738,1800.0,0.0,8.4
1699359086.826,46.738,1800.0,33.3,8.4
1699359086.833,48.199,1800.0,33.3,8.4
1699359086.841,48.199,1800.0,50.0,8.4
