Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352594.748,44.79,1800.0,0.5,10.2
1699352595.25,45.764,1800.0,0.0,10.2
1699352595.752,45.764,1800.0,0.5,10.2
1699352596.255,45.764,1800.0,0.0,10.2
1699352596.757,45.277,1800.0,0.0,10.2
1699352597.259,45.764,1800.0,0.0,10.2
1699352597.761,45.277,1800.0,0.0,10.2
1699352598.267,45.764,600.0,0.5,10.2
1699352598.772,45.277,600.0,2.0,10.2
1699352599.276,45.764,1800.0,25.7,10.0
1699352599.778,45.277,1800.0,21.2,10.2
1699352600.281,45.764,1800.0,0.5,10.2
1699352600.783,44.79,1800.0,0.0,10.2
1699352601.285,45.277,1800.0,0.0,10.2
1699352601.788,45.277,1800.0,0.0,10.2
1699352602.29,46.738,1800.0,0.0,10.2
1699352602.792,46.251,1800.0,0.5,10.2
1699352603.295,45.764,1800.0,0.0,10.2
1699352603.797,44.79,1800.0,1.0,10.2
1699352604.303,45.764,600.0,0.5,10.2
1699352604.805,45.764,1800.0,10.9,9.7
1699352605.309,47.225,1800.0,34.7,10.2
1699352605.811,45.764,1800.0,3.5,10.2
1699352606.313,45.764,1800.0,0.0,10.2
1699352606.816,44.79,1800.0,1.0,10.2
1699352607.318,45.277,1800.0,0.0,10.2
1699352607.82,45.277,1800.0,0.0,10.2
1699352608.323,44.79,1800.0,0.0,10.2
1699352608.825,45.277,1800.0,1.0,10.2
1699352609.328,45.764,1800.0,0.5,10.2
1699352609.832,46.251,700.0,0.0,10.2
1699352610.338,43.816,600.0,0.5,10.2
1699352610.841,45.764,1800.0,20.5,10.0
1699352611.344,46.251,1800.0,26.6,10.2
1699352611.846,45.764,1800.0,0.0,10.2
1699352612.349,45.277,1800.0,0.0,10.2
1699352612.851,46.738,1800.0,0.0,10.2
1699352613.353,45.764,1800.0,0.0,10.2
1699352613.856,46.251,1800.0,1.5,10.2
1699352614.358,45.764,1800.0,0.0,10.2
1699352614.86,46.251,1800.0,0.5,10.2
1699352615.362,45.277,1800.0,0.0,10.2
1699352615.867,44.303,600.0,0.0,10.2
1699352616.371,45.277,1800.0,7.0,9.3
1699352616.876,46.251,1800.0,28.7,10.1
1699352617.378,46.738,1800.0,11.6,10.2
1699352617.881,45.277,1800.0,0.0,10.2
1699352618.383,44.79,1800.0,0.0,10.2
1699352618.886,45.764,1800.0,1.5,10.2
1699352619.388,45.277,1800.0,0.0,10.2
1699352619.89,45.764,1800.0,0.0,10.2
1699352620.393,45.277,1800.0,0.5,10.2
1699352620.895,45.277,1800.0,0.0,10.2
1699352621.399,45.764,700.0,0.0,10.2
1699352621.905,43.816,600.0,0.5,10.2
1699352622.408,46.738,1800.0,17.4,9.8
1699352622.91,46.738,1800.0,31.0,10.2
1699352623.413,45.764,1800.0,0.0,10.2
1699352623.919,46.251,1800.0,1.0,10.2
1699352624.421,46.251,1800.0,0.0,10.2
1699352624.923,44.79,1800.0,0.0,10.2
1699352625.425,46.251,1800.0,0.0,10.2
1699352625.928,46.251,1800.0,0.5,10.2
1699352626.43,45.277,1800.0,0.0,10.2
1699352626.932,45.277,1800.0,0.0,10.2
1699352627.437,45.277,600.0,0.0,10.2
1699352627.943,45.277,700.0,2.5,10.2
1699352628.445,45.764,1800.0,26.5,10.1
1699352628.948,46.738,1800.0,20.7,10.2
1699352629.451,45.764,1800.0,0.0,10.2
1699352629.953,45.764,1800.0,0.0,10.2
1699352630.455,46.738,1800.0,0.0,10.2
1699352630.957,46.251,1800.0,0.5,10.2
1699352631.46,45.764,1800.0,0.5,10.2
1699352631.962,45.764,1800.0,0.0,10.2
1699352632.464,46.251,1800.0,0.0,10.2
1699352632.966,45.277,1800.0,0.0,10.2
1699352633.472,45.764,600.0,1.5,10.2
1699352633.975,45.764,1800.0,10.4,9.7
1699352634.478,46.738,1800.0,34.0,10.2
1699352634.981,46.251,1800.0,4.0,10.2
1699352635.483,47.225,1800.0,0.0,10.2
1699352635.985,46.251,1800.0,0.0,10.2
1699352636.488,45.277,1800.0,0.0,10.2
1699352636.99,46.251,1800.0,0.0,10.2
1699352637.492,46.251,1800.0,0.5,10.2
1699352637.994,45.277,1800.0,0.0,10.2
1699352638.497,45.764,1800.0,0.5,10.2
1699352639.002,45.277,700.0,1.0,10.2
1699352639.507,45.764,600.0,0.0,10.2
1699352640.01,45.764,1800.0,16.9,9.9
1699352640.513,45.764,1800.0,31.8,10.3
1699352641.016,46.251,1800.0,0.5,10.3
1699352641.518,45.277,1800.0,0.0,10.3
1699352642.021,46.251,1800.0,0.5,10.3
1699352642.523,47.225,1800.0,0.0,10.3
1699352643.025,45.277,1800.0,0.0,10.3
1699352643.528,45.764,1800.0,1.5,10.3
1699352644.03,46.738,1800.0,0.0,10.3
1699352644.533,45.764,1800.0,0.0,10.3
1699352645.038,45.764,600.0,0.0,10.3
1699352645.544,46.738,600.0,1.5,10.2
1699352646.048,46.738,1800.0,25.0,10.1
1699352646.55,47.712,1800.0,21.6,10.3
1699352647.053,46.251,1800.0,0.5,10.3
1699352647.555,46.251,1800.0,0.0,10.3
1699352648.058,46.251,1800.0,0.0,10.3
1699352648.56,46.251,1800.0,1.5,10.3
1699352649.062,45.764,1800.0,0.0,10.3
1699352649.565,46.738,1800.0,0.0,10.3
1699352650.072,45.764,1800.0,0.0,10.3
1699352650.574,45.764,1800.0,0.0,10.3
1699352651.079,45.277,600.0,0.5,10.3
1699352651.582,46.738,1800.0,9.0,9.7
1699352652.086,47.225,1800.0,33.0,10.2
1699352652.589,46.738,1800.0,7.0,10.3
1699352653.091,46.251,1800.0,0.0,10.3
1699352653.593,45.764,1800.0,1.5,10.3
1699352654.096,45.277,1800.0,0.0,10.3
1699352654.598,45.764,1800.0,0.0,10.3
1699352655.103,45.764,1800.0,0.5,10.3
1699352655.606,46.251,1800.0,0.0,10.3
1699352656.108,45.764,1800.0,0.0,10.3
1699352656.612,45.277,700.0,0.0,10.3
1699352657.118,45.277,600.0,0.5,10.3
1699352657.621,46.251,1800.0,19.9,9.9
1699352658.124,47.225,1800.0,28.9,10.2
1699352658.626,46.251,1800.0,1.0,10.2
1699352659.128,45.764,1800.0,0.5,10.2
1699352659.631,46.738,1800.0,0.0,10.2
1699352660.138,46.251,1800.0,0.0,10.2
1699352660.64,47.225,1800.0,0.0,10.2
1699352661.142,46.251,1800.0,0.0,10.2
1699352661.645,46.251,1800.0,0.0,10.2
1699352662.147,46.251,1800.0,0.5,10.2
1699352662.652,46.251,600.0,0.5,10.2
1699352663.156,45.764,1800.0,4.5,9.8
1699352663.659,47.225,1800.0,26.7,10.1
1699352664.162,46.738,1800.0,17.2,10.3
1699352664.665,46.738,1800.0,0.5,10.3
1699352665.169,46.251,1800.0,1.0,10.3
1699352665.672,45.764,1800.0,1.0,10.3
1699352666.174,46.738,1800.0,0.0,10.3
1699352666.677,45.764,1800.0,0.0,10.3
1699352667.179,47.225,1800.0,0.0,10.3
1699352667.681,45.764,1800.0,0.5,10.3
1699352668.186,46.251,700.0,0.5,10.3
1699352668.691,45.764,700.0,1.5,10.3
1699352669.194,45.277,1800.0,15.0,9.9
1699352669.697,46.738,1800.0,34.7,10.3
1699352670.202,46.738,1800.0,0.0,10.3
1699352670.705,46.251,1800.0,0.0,10.3
1699352671.207,46.251,1800.0,0.5,10.3
1699352671.71,45.764,1800.0,0.0,10.3
1699352672.212,45.764,1800.0,0.5,10.3
1699352672.714,45.277,1800.0,0.0,10.3
1699352673.216,45.277,1800.0,0.0,10.3
1699352673.719,45.277,1800.0,1.0,10.3
1699352674.224,45.764,700.0,0.0,10.3
1699352674.729,45.764,600.0,0.5,10.3
1699352675.233,47.225,1800.0,24.3,10.1
1699352675.736,46.251,1800.0,23.1,10.3
1699352676.238,47.225,1800.0,0.0,10.3
1699352676.741,46.738,1800.0,0.5,10.3
1699352677.243,47.225,1800.0,0.0,10.3
1699352677.745,46.251,1800.0,0.5,10.3
1699352678.248,46.738,1800.0,0.0,10.3
1699352678.75,46.738,1800.0,1.0,10.3
1699352679.253,46.251,1800.0,0.0,10.3
1699352679.755,45.277,1800.0,0.5,10.3
1699352680.26,46.251,600.0,0.5,10.3
1699352680.764,46.738,1800.0,7.5,9.4
1699352681.268,47.225,1800.0,28.9,10.1
1699352681.771,46.251,1800.0,11.6,10.2
1699352682.273,46.738,1800.0,0.0,10.2
1699352682.775,46.251,1800.0,0.5,10.2
1699352683.278,46.251,1800.0,0.0,10.2
1699352683.78,45.764,1800.0,1.0,10.2
1699352684.283,46.738,1800.0,0.0,10.2
1699352684.785,47.712,1800.0,0.0,10.2
1699352685.287,45.764,1800.0,0.0,10.2
1699352685.792,46.251,700.0,0.5,10.2
1699352686.297,45.764,600.0,0.0,10.2
1699352686.8,47.225,1800.0,12.5,9.7
1699352687.303,47.225,1800.0,34.2,10.2
1699352687.806,47.225,1800.0,1.5,10.2
1699352688.308,46.251,1800.0,0.0,10.2
1699352688.81,46.738,1800.0,1.0,10.2
1699352689.313,46.738,1800.0,0.0,10.2
1699352689.815,45.764,1800.0,0.0,10.2
1699352690.317,46.738,1800.0,0.0,10.2
1699352690.82,46.251,1800.0,0.0,10.2
1699352691.322,46.738,1800.0,0.0,10.2
1699352691.827,45.764,600.0,0.5,10.2
1699352692.332,46.251,600.0,0.5,10.2
1699352692.835,46.251,1800.0,20.5,10.0
1699352693.338,46.738,1800.0,27.0,10.2
1699352693.841,45.764,1800.0,1.5,10.2
1699352694.343,46.251,1800.0,0.0,10.2
1699352694.845,46.738,1800.0,0.0,10.2
1699352695.347,47.225,1800.0,0.0,10.2
1699352695.85,46.251,1800.0,0.0,10.2
1699352696.352,47.225,1800.0,0.5,10.2
1699352696.854,46.251,1800.0,0.0,10.2
1699352697.357,46.251,1800.0,0.5,10.2
1699352697.862,45.764,600.0,0.0,10.2
1699352698.366,46.738,900.0,4.5,9.2
1699352698.869,46.738,1800.0,26.4,10.1
