Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1698321565.284,49.66,1800.0,0.0,8.6,normal
1698321565.291,49.66,1800.0,33.3,8.6,normal
1698321565.298,49.66,1800.0,33.3,8.6,normal
1698321565.305,49.173,1800.0,33.3,8.6,normal
1698321565.311,49.173,1800.0,0.0,8.6,normal
1698321565.319,49.173,1800.0,33.3,8.6,normal
1698321565.326,49.173,1800.0,33.3,8.6,normal
1698321565.333,49.173,1800.0,33.3,8.6,normal
1698321565.34,49.173,1800.0,0.0,8.6,normal
1698321565.347,50.147,1800.0,33.3,8.6,normal
1698321565.354,50.147,1800.0,33.3,8.6,normal
1698321565.361,50.147,1800.0,0.0,8.6,normal
1698321565.368,49.173,1800.0,0.0,8.6,normal
1698321565.375,49.173,1800.0,33.3,8.6,normal
1698321565.383,49.173,1800.0,25.0,8.6,normal
1698321565.39,49.66,1800.0,33.3,8.6,normal
1698321565.397,49.66,1800.0,33.3,8.6,normal
1698321565.404,49.66,1800.0,0.0,8.6,normal
1698321565.411,49.66,1800.0,33.3,8.6,normal
1698321565.418,50.634,1800.0,33.3,8.6,normal
1698321565.425,50.634,1800.0,0.0,8.6,normal
1698321565.432,50.634,1800.0,33.3,8.6,normal
1698321565.439,49.66,1800.0,33.3,8.6,normal
1698321565.447,49.66,1800.0,0.0,8.6,normal
1698321565.454,49.66,1800.0,40.0,8.6,normal
1698321565.461,50.147,1800.0,33.3,8.6,normal
1698321565.468,50.147,1800.0,0.0,8.6,normal
1698321565.475,50.147,1800.0,33.3,8.6,normal
1698321565.483,50.147,1800.0,33.3,8.6,normal
1698321565.49,50.147,1800.0,0.0,8.6,normal
1698321565.497,50.147,1800.0,33.3,8.6,normal
1698321565.504,50.147,1800.0,33.3,8.6,normal
1698321565.512,50.147,1800.0,0.0,8.6,normal
1698321565.519,50.147,1800.0,33.3,8.6,normal
1698321565.527,49.66,1800.0,33.3,8.6,normal
1698321565.534,49.66,1800.0,50.0,8.6,normal
1698321565.541,49.66,1800.0,33.3,8.6,normal
1698321565.548,49.173,1800.0,0.0,8.6,normal
1698321565.556,49.173,1800.0,33.3,8.6,normal
1698321565.563,49.173,1800.0,33.3,8.6,normal
1698321565.57,50.147,1800.0,0.0,8.6,normal
1698321565.578,50.147,1800.0,33.3,8.6,normal
1698321565.585,50.147,1800.0,33.3,8.6,normal
1698321565.592,50.147,1800.0,33.3,8.6,normal
1698321565.6,50.147,1800.0,0.0,8.6,normal
1698321565.607,50.147,1800.0,33.3,8.6,normal
1698321565.615,49.173,1800.0,25.0,8.6,normal
1698321565.622,49.173,1800.0,33.3,8.6,normal
1698321565.629,49.173,1800.0,0.0,8.6,normal
1698321565.637,48.686,1800.0,33.3,8.6,normal
1698321565.645,48.686,1800.0,33.3,8.6,normal
1698321565.652,48.686,1800.0,25.0,8.6,normal
1698321565.659,50.634,1800.0,0.0,8.6,normal
1698321565.667,50.634,1800.0,33.3,8.6,normal
1698321565.674,50.634,1800.0,33.3,8.6,normal
1698321565.682,50.147,1800.0,0.0,8.6,normal
1698321565.689,50.147,1800.0,33.3,8.6,normal
1698321565.697,50.147,1800.0,25.0,8.6,normal
1698321565.704,49.66,1800.0,0.0,8.6,normal
1698321565.711,49.66,1800.0,33.3,8.6,normal
1698321565.719,49.66,1800.0,33.3,8.6,normal
1698321565.726,51.121,1800.0,33.3,8.6,normal
1698321565.734,51.121,1800.0,25.0,8.6,normal
1698321565.741,49.66,1800.0,33.3,8.6,normal
1698321565.749,49.66,1800.0,33.3,8.6,normal
1698321565.756,49.66,1800.0,33.3,8.6,normal
1698321565.764,51.121,1800.0,0.0,8.6,normal
1698321565.772,51.121,1800.0,25.0,8.6,normal
1698321565.78,51.121,1800.0,0.0,8.6,normal
1698321565.787,49.173,1800.0,33.3,8.6,normal
1698321565.795,49.173,1800.0,25.0,8.6,normal
1698321565.802,49.173,1800.0,33.3,8.6,normal
1698321565.81,50.147,1800.0,0.0,8.6,normal
1698321565.818,50.147,1800.0,33.3,8.6,normal
1698321565.825,50.147,1800.0,33.3,8.6,normal
1698321565.833,50.634,1800.0,25.0,8.6,normal
1698321565.841,50.634,1800.0,33.3,8.6,normal
1698321565.848,50.634,1800.0,0.0,8.6,normal
1698321565.856,49.173,1800.0,33.3,8.6,normal
1698321565.864,49.173,1800.0,0.0,8.6,normal
1698321565.871,49.173,1800.0,33.3,8.6,normal
1698321565.879,49.66,1800.0,33.3,8.6,normal
1698321565.887,49.66,1800.0,25.0,8.6,normal
1698321565.895,49.66,1800.0,33.3,8.6,normal
1698321565.903,48.686,1800.0,33.3,8.6,normal
1698321565.911,48.686,1800.0,25.0,8.6,normal
1698321565.918,50.634,1800.0,33.3,8.6,normal
1698321565.926,50.634,1800.0,33.3,8.6,normal
1698321565.934,50.634,1800.0,0.0,8.6,normal
1698321565.942,50.634,1800.0,40.0,8.6,normal
1698321565.949,50.634,1800.0,0.0,8.6,normal
1698321565.957,50.634,1800.0,33.3,8.6,normal
1698321565.965,50.147,1800.0,33.3,8.6,normal
1698321565.973,50.147,1800.0,25.0,8.6,normal
1698321565.981,50.147,1800.0,33.3,8.6,normal
1698321565.989,50.634,1800.0,0.0,8.6,normal
1698321565.997,50.634,1800.0,25.0,8.6,normal
1698321566.005,50.634,1800.0,33.3,8.6,normal
1698321566.013,49.66,1800.0,33.3,8.6,normal
1698321566.021,49.66,1800.0,0.0,8.6,normal
1698321566.029,50.634,1800.0,33.3,8.6,normal
1698321566.037,50.634,1800.0,25.0,8.6,normal
1698321566.045,50.634,1800.0,33.3,8.6,normal
1698321566.053,50.147,1800.0,33.3,8.6,normal
1698321566.061,50.147,1800.0,0.0,8.6,normal
1698321566.069,50.147,1800.0,33.3,8.6,normal
1698321566.077,50.147,1800.0,33.3,8.6,normal
1698321566.085,50.147,1800.0,25.0,8.6,normal
1698321566.093,50.634,1800.0,33.3,8.6,normal
1698321566.101,50.634,1800.0,0.0,8.6,normal
1698321566.109,50.634,1800.0,25.0,8.6,normal
1698321566.117,50.147,1800.0,33.3,8.6,normal
1698321566.125,50.147,1800.0,33.3,8.6,normal
1698321566.133,50.147,1800.0,0.0,8.6,normal
1698321566.141,50.634,1800.0,50.0,8.6,normal
1698321566.149,50.634,1800.0,0.0,8.6,normal
1698321566.157,50.634,1800.0,25.0,8.6,normal
1698321566.166,50.634,1800.0,33.3,8.6,normal
1698321566.174,50.634,1800.0,25.0,8.6,normal
1698321566.182,49.66,1800.0,33.3,8.6,normal
1698321566.19,49.66,1800.0,33.3,8.6,normal
1698321566.198,49.66,1800.0,25.0,8.6,normal
1698321566.206,49.173,1800.0,33.3,8.6,normal
1698321566.214,49.173,1800.0,25.0,8.6,normal
1698321566.222,49.173,1800.0,33.3,8.6,normal
1698321566.23,50.634,1800.0,33.3,8.6,normal
1698321566.238,50.634,1800.0,0.0,8.6,normal
1698321566.247,50.634,1800.0,33.3,8.6,normal
1698321566.255,49.66,1800.0,25.0,8.6,normal
1698321566.263,49.66,1800.0,33.3,8.6,normal
1698321566.271,49.66,1800.0,33.3,8.6,normal
1698321566.28,49.66,1800.0,0.0,8.6,normal
1698321566.288,49.66,1800.0,50.0,8.6,normal
1698321566.296,51.121,1800.0,25.0,8.6,normal
1698321566.304,51.121,1800.0,33.3,8.6,normal
1698321566.313,51.121,1800.0,25.0,8.6,normal
1698321566.321,48.199,1800.0,0.0,8.6,normal
1698321566.329,48.199,1800.0,33.3,8.6,normal
1698321566.337,50.147,1800.0,0.0,8.6,normal
1698321566.346,50.147,1800.0,33.3,8.6,normal
1698321566.354,50.147,1800.0,40.0,8.6,normal
1698321566.362,50.147,1800.0,33.3,8.6,normal
1698321566.37,50.147,1800.0,0.0,8.6,normal
1698321566.378,50.147,1800.0,33.3,8.6,normal
1698321566.387,50.147,1800.0,33.3,8.6,normal
1698321566.395,50.147,1800.0,25.0,8.6,normal
1698321566.404,50.634,1800.0,33.3,8.6,normal
1698321566.412,50.634,1800.0,0.0,8.6,normal
1698321566.421,50.634,1800.0,50.0,8.6,normal
1698321566.429,50.634,1800.0,0.0,8.6,normal
1698321566.437,50.634,1800.0,33.3,8.6,normal
1698321566.446,50.634,1800.0,25.0,8.6,normal
1698321566.454,50.634,1800.0,33.3,8.6,normal
1698321566.463,50.634,1800.0,0.0,8.6,normal
1698321566.471,50.634,1800.0,33.3,8.6,normal
1698321566.479,50.634,1800.0,25.0,8.6,normal
1698321566.488,50.634,1800.0,33.3,8.6,normal
1698321566.496,51.608,1800.0,33.3,8.6,normal
1698321566.505,51.608,1800.0,25.0,8.6,normal
1698321566.513,50.634,1800.0,25.0,8.6,normal
1698321566.522,50.634,1800.0,0.0,8.6,normal
1698321566.53,50.634,1800.0,25.0,8.6,normal
1698321566.539,50.147,1800.0,33.3,8.6,normal
1698321566.548,50.147,1800.0,25.0,8.6,normal
1698321566.556,51.121,1800.0,33.3,8.6,normal
1698321566.565,51.121,1800.0,0.0,8.6,normal
1698321566.573,51.121,1800.0,50.0,8.6,normal
1698321566.582,50.147,1800.0,25.0,8.6,normal
1698321566.59,50.147,1800.0,0.0,8.6,normal
1698321566.599,50.147,1800.0,25.0,8.6,normal
1698321566.607,50.634,1800.0,33.3,8.6,normal
1698321566.616,50.634,1800.0,25.0,8.6,normal
1698321566.625,50.634,1800.0,50.0,8.6,normal
1698321566.633,50.634,1800.0,0.0,8.6,normal
1698321566.642,50.634,1800.0,33.3,8.6,normal
1698321566.651,49.66,1800.0,25.0,8.6,normal
1698321566.659,49.66,1800.0,33.3,8.6,normal
1698321566.668,51.121,1800.0,25.0,8.6,normal
1698321566.677,51.121,1800.0,0.0,8.6,normal
1698321566.685,51.121,1800.0,33.3,8.6,normal
1698321566.694,49.66,1800.0,25.0,8.6,normal
1698321566.703,49.66,1800.0,33.3,8.6,normal
1698321566.711,50.147,1800.0,25.0,8.6,normal
1698321566.72,50.147,1800.0,0.0,8.6,normal
1698321566.729,50.147,1800.0,40.0,8.6,normal
1698321566.737,51.121,1800.0,33.3,8.6,normal
1698321566.746,51.121,1800.0,25.0,8.6,normal
1698321566.755,49.66,1800.0,25.0,8.6,normal
1698321566.764,49.66,1800.0,0.0,8.6,normal
1698321566.773,49.66,1800.0,40.0,8.6,normal
1698321566.782,49.173,1800.0,0.0,8.6,normal
1698321566.79,49.173,1800.0,33.3,8.6,normal
1698321566.799,50.634,1800.0,25.0,8.6,normal
1698321566.808,50.634,1800.0,33.3,8.6,normal
1698321566.817,50.634,1800.0,40.0,8.6,normal
1698321566.825,49.173,1800.0,0.0,8.6,normal
