Temps,Luminosite
1697138947,4095
1697138947,4095
1697138948,4095
1697138948,4095
1697138949,4095
1697138949,4095
1697138950,4095
1697138950,4095
1697138951,4095
1697138951,4095
1697138952,4095
1697138952,4095
1697138953,4095
1697138953,4095
1697138954,4095
1697138954,4095
1697138955,4095
1697138955,4095
1697138956,4095
1697138956,4095
1697138957,4095
1697138957,4095
1697138958,4095
1697138958,4095
1697138959,4095
1697138959,4095
1697138960,4095
1697138960,4095
1697138961,4095
1697138961,4095
1697138962,4095
1697138962,4095
1697138963,4095
1697138963,4095
1697138964,4095
1697138964,4095
1697138965,4095
1697138965,4095
1697138966,4095
1697138966,4095
1697138967,4095
1697138967,4095
1697138968,4095
1697138968,4095
1697138969,4095
1697138969,4095
1697138970,4095
1697138970,4095
1697138971,4095
1697138971,4095
1697138972,4095
1697138972,4095
1697138973,4095
1697138973,4095
1697138974,4095
1697138974,4095
1697138975,4095
1697138975,4095
1697138976,4095
1697138976,4095
1697138977,4095
1697138977,4095
1697138978,4095
1697138978,4095
1697138979,4095
1697138979,4095
1697138980,4095
1697138980,4095
1697138981,4095
1697138981,4095
1697138982,4095
1697138982,4095
1697138983,4095
1697138983,4095
1697138984,4095
1697138984,4095
1697138985,4095
1697138985,4095
1697138986,4095
1697138986,4095
1697138987,4095
1697138987,4095
1697138988,4095
1697138988,4095
1697138989,4095
1697138989,4095
1697138990,4095
1697138990,4095
1697138991,4095
1697138991,4095
1697138992,4095
1697138992,4095
1697138993,4095
1697138993,4095
1697138994,4095
1697138994,4095
1697138995,4095
1697138995,4095
1697138996,4095
1697138996,4095
1697138997,4095
1697138997,4095
1697138998,4095
1697138998,4095
1697138999,4095
1697138999,4095
1697139000,4095
1697139000,4095
1697139001,4095
1697139001,4095
1697139002,4095
1697139002,4095
1697139003,4095
1697139003,4095
1697139004,4095
1697139004,4095
1697139005,4095
1697139005,4095
1697139006,4095
1697139006,4095
1697139007,4095
1697139007,4095
1697139008,4095
1697139008,4095
1697139009,4095
1697139009,4095
1697139010,4095
1697139010,4095
1697139011,4095
1697139011,4095
1697139012,4095
1697139012,4095
1697139013,4095
1697139013,4095
1697139014,4095
1697139014,4095
1697139015,4095
1697139015,4095
1697139016,4095
1697139016,4095
1697139017,4095
1697139017,4095
1697139018,4095
1697139018,4095
1697139019,4095
1697139019,4095
1697139020,4095
1697139020,4095
1697139021,4095
1697139021,4095
1697139022,4095
1697139022,4095
1697139023,4095
1697139023,4095
1697139024,4095
1697139024,4095
1697139025,4095
1697139025,4095
1697139026,4095
1697139026,4095
1697139027,4095
1697139027,4095
1697139028,4095
1697139028,4095
1697139029,4095
1697139029,4095
1697139030,4095
1697139030,4095
1697139031,4095
1697139031,4095
1697139032,4095
1697139032,4095
1697139033,4095
1697139033,4095
1697139034,4095
1697139034,4095
1697139035,4095
1697139035,4095
1697139036,4095
1697139036,4095
1697139037,4095
1697139037,4095
1697139038,4095
1697139038,4095
1697139039,4095
1697139039,4095
1697139040,4095
1697139040,4095
1697139041,4095
1697139041,4095
1697139042,4095
1697139042,4095
1697139043,4095
1697139043,4095
1697139044,4095
1697139044,4095
1697139045,4095
1697139045,4095
1697139046,4095
1697139046,4095
1697139047,4095
1697139047,4095
