Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697138989.501,45.277,1800.0,6.4,10.2,cluster0
1697138990.004,44.79,1800.0,4.0,10.2,cluster0
1697138990.506,44.79,1800.0,4.0,10.2,cluster0
1697138991.009,45.277,1800.0,7.0,10.2,cluster0
1697138991.511,44.79,1800.0,5.9,10.2,cluster0
1697138992.014,45.277,1800.0,4.9,10.2,cluster0
1697138992.518,44.79,900.0,4.5,10.2,cluster0
1697138993.022,43.816,1100.0,7.9,10.2,cluster0
1697138993.524,43.816,1800.0,11.9,9.1,cluster0
1697138994.028,43.816,1800.0,31.0,10.1,cluster0
1697138994.531,43.329,1800.0,19.5,10.2,cluster0
1697138995.034,45.277,1800.0,5.4,10.3,cluster0
1697138995.536,45.764,1800.0,4.0,10.3,cluster0
1697138996.039,44.79,1800.0,4.0,10.3,cluster0
1697138996.542,44.79,1800.0,4.0,10.3,cluster0
1697138997.044,44.79,1800.0,5.9,10.3,cluster0
1697138997.547,44.303,1800.0,4.0,10.2,cluster0
1697138998.049,44.303,1800.0,5.4,10.3,cluster0
1697138998.554,44.303,800.0,4.0,10.3,cluster0
1697138999.06,44.303,600.0,5.0,10.3,cluster0
1697138999.563,44.79,1200.0,8.4,10.3,cluster0
1697139000.066,45.764,1800.0,28.7,10.0,cluster0
1697139000.569,45.277,1800.0,26.1,10.2,cluster0
1697139001.072,45.764,1800.0,5.0,10.2,cluster0
1697139001.574,45.277,1800.0,5.9,10.2,cluster0
1697139002.077,45.277,1800.0,4.5,10.2,cluster0
1697139002.579,45.764,1800.0,4.5,10.2,cluster0
1697139003.082,45.764,1800.0,4.5,10.2,cluster0
1697139003.584,45.277,1800.0,4.9,10.2,cluster0
1697139004.087,45.277,1800.0,4.5,10.2,cluster0
1697139004.59,45.277,1800.0,4.5,10.2,cluster0
1697139005.094,44.303,700.0,6.9,10.1,cluster0
1697139005.599,45.277,600.0,6.9,10.1,cluster0
1697139006.102,46.738,1800.0,21.9,9.8,cluster0
1697139006.605,46.251,1800.0,34.7,10.2,cluster0
1697139007.107,44.79,1800.0,5.0,10.2,cluster0
1697139007.61,45.277,1800.0,4.5,10.2,cluster0
1697139008.112,45.764,1800.0,3.5,10.2,cluster0
1697139008.615,44.79,1800.0,4.5,10.2,cluster0
1697139009.118,45.277,1800.0,4.0,10.2,cluster0
1697139009.62,44.79,1800.0,5.4,10.2,cluster0
1697139010.123,44.303,1800.0,5.0,10.2,cluster0
1697139010.625,45.277,1800.0,4.0,10.2,cluster0
1697139011.13,44.79,700.0,4.9,10.2,cluster0
1697139011.635,44.303,800.0,8.4,10.2,cluster0
1697139012.138,44.79,1800.0,14.9,9.6,cluster0
1697139012.644,45.277,1800.0,36.6,10.2,cluster0
1697139013.147,45.277,1800.0,10.4,10.2,cluster0
1697139013.649,45.277,1800.0,4.0,10.2,cluster0
1697139014.152,44.79,1800.0,3.0,10.2,cluster0
1697139014.654,45.277,1800.0,3.9,10.2,cluster0
1697139015.157,44.79,1800.0,4.5,10.2,cluster0
1697139015.66,45.277,1800.0,4.4,10.2,cluster0
1697139016.162,44.79,1800.0,3.5,10.2,cluster0
1697139016.665,44.303,1800.0,5.0,10.2,cluster0
1697139017.169,45.277,800.0,4.0,10.2,cluster0
1697139017.674,45.764,800.0,5.9,10.2,cluster0
1697139018.18,44.79,600.0,7.9,10.2,cluster0
1697139018.683,46.738,1800.0,30.3,10.1,cluster0
1697139019.19,46.251,1800.0,26.6,10.2,cluster0
1697139019.693,45.277,1800.0,3.5,10.2,cluster0
1697139020.195,45.764,1800.0,6.0,10.2,cluster0
1697139020.698,46.251,1800.0,4.9,10.2,cluster0
1697139021.2,45.277,1800.0,5.0,10.2,cluster0
1697139021.703,44.303,1800.0,5.9,10.2,cluster0
1697139022.205,45.764,1800.0,3.5,10.2,cluster0
1697139022.708,45.277,1800.0,3.5,10.2,cluster0
1697139023.211,44.303,1800.0,5.0,10.2,cluster0
1697139023.714,45.277,1800.0,9.4,10.2,cluster0
1697139024.217,44.79,1800.0,10.0,9.5,cluster0
1697139024.721,46.251,1800.0,36.2,10.1,cluster0
1697139025.224,44.79,1800.0,8.0,10.2,cluster0
1697139025.726,45.277,1800.0,4.0,10.2,cluster0
1697139026.229,44.79,1800.0,2.5,10.2,cluster0
1697139026.731,46.251,1800.0,4.5,10.2,cluster0
1697139027.234,45.764,1800.0,4.5,10.2,cluster0
1697139027.737,45.277,1800.0,5.4,10.2,cluster0
1697139028.239,45.277,1800.0,5.9,10.3,cluster0
1697139028.745,44.79,600.0,4.5,10.3,cluster0
1697139029.25,45.764,600.0,5.9,10.3,cluster0
1697139029.756,45.277,600.0,5.4,10.3,cluster0
1697139030.259,46.251,1800.0,18.9,9.8,cluster0
1697139030.762,45.277,1800.0,37.7,10.2,cluster0
1697139031.264,46.738,1800.0,4.0,10.2,cluster0
1697139031.767,46.251,1800.0,5.0,10.2,cluster0
1697139032.269,46.251,1800.0,5.9,10.2,cluster0
1697139032.772,45.277,1800.0,4.0,10.2,cluster0
1697139033.275,45.764,1800.0,4.0,10.3,cluster0
1697139033.777,45.277,1800.0,4.9,10.3,cluster0
1697139034.28,45.764,1800.0,5.0,10.3,cluster0
1697139034.784,45.764,1800.0,4.0,10.3,cluster0
1697139035.288,44.79,800.0,4.5,10.3,cluster0
1697139035.793,45.277,800.0,5.9,10.3,cluster0
1697139036.297,45.764,1800.0,12.4,9.6,cluster0
1697139036.808,46.251,1800.0,36.6,10.2,cluster0
1697139037.311,45.764,1800.0,11.9,10.3,cluster0
1697139037.814,45.764,1800.0,3.5,10.3,cluster0
1697139038.316,45.764,1800.0,5.0,10.3,cluster0
1697139038.819,44.79,1800.0,4.0,10.3,cluster0
1697139039.322,45.277,1800.0,4.4,10.3,cluster0
1697139039.824,46.251,1800.0,4.0,10.3,cluster0
1697139040.327,45.764,1800.0,5.4,10.3,cluster0
1697139040.829,44.79,1800.0,5.5,10.3,cluster0
1697139041.335,45.764,700.0,2.5,10.3,cluster0
1697139041.837,45.764,1800.0,11.4,10.3,cluster0
1697139042.34,46.738,1800.0,18.9,9.9,cluster0
1697139042.843,46.738,1800.0,34.7,10.2,cluster0
1697139043.345,47.225,1800.0,4.5,10.2,cluster0
1697139043.848,45.764,1800.0,4.0,10.2,cluster0
1697139044.351,45.277,1800.0,5.0,10.2,cluster0
1697139044.853,45.277,1800.0,3.5,10.2,cluster0
1697139045.356,45.277,1800.0,4.0,10.3,cluster0
1697139045.858,45.764,1800.0,4.0,10.3,cluster0
1697139046.361,45.764,1800.0,4.5,10.3,cluster0
1697139046.863,47.225,1800.0,24.6,10.3,cluster0
1697139047.366,45.764,1800.0,3.0,10.3,cluster0
1697139047.869,45.764,1800.0,4.0,10.3,cluster0
1697139048.373,46.738,1800.0,23.9,9.9,cluster0
1697139048.876,46.251,1800.0,25.5,10.1,cluster0
1697139049.379,47.225,1800.0,2.0,10.1,cluster0
1697139049.881,45.764,1800.0,7.9,10.2,cluster0
1697139050.384,45.277,1800.0,3.5,10.2,cluster0
1697139050.887,46.251,1800.0,5.9,10.2,cluster0
1697139051.389,47.225,1800.0,7.0,10.2,cluster0
1697139051.893,46.251,900.0,6.4,10.2,cluster0
1697139052.397,45.764,1100.0,5.5,10.2,cluster0
1697139052.901,45.277,800.0,6.0,10.2,cluster0
1697139053.406,45.277,900.0,6.9,10.2,cluster0
1697139053.91,45.764,1000.0,7.4,10.2,cluster0
1697139054.413,46.251,1800.0,22.5,9.8,cluster0
1697139054.916,47.225,1800.0,35.2,10.2,cluster0
1697139055.418,45.764,1800.0,4.0,10.2,cluster0
1697139055.921,46.251,1800.0,4.0,10.2,cluster0
1697139056.423,46.251,1800.0,3.5,10.2,cluster0
1697139056.926,45.764,1800.0,4.5,10.2,cluster0
1697139057.428,47.225,1800.0,8.4,10.2,cluster0
1697139057.931,47.225,1800.0,4.0,10.2,cluster0
1697139058.434,45.277,1800.0,3.5,10.2,cluster0
1697139058.936,46.251,1800.0,4.5,10.2,cluster0
1697139059.441,45.277,700.0,3.5,10.2,cluster0
