Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697489924.633,42.842,1800.0,3.0,10.3,normal
1697489925.137,43.329,900.0,4.5,10.3,normal
1697489925.642,42.842,700.0,4.4,10.3,normal
1697489926.145,44.79,1800.0,18.0,10.0,normal
1697489926.648,45.764,1800.0,32.8,10.3,normal
1697489927.151,44.303,1800.0,1.5,10.3,normal
1697489927.653,43.816,1800.0,6.4,10.3,normal
1697489928.156,44.303,1800.0,3.0,10.4,normal
1697489928.658,43.329,1800.0,4.0,10.3,normal
1697489929.161,42.842,1800.0,2.5,10.4,normal
1697489929.663,43.816,1800.0,5.0,10.4,normal
1697489930.166,43.816,1800.0,4.0,10.4,normal
1697489930.669,44.303,1800.0,4.0,10.4,normal
1697489931.174,44.303,600.0,3.4,10.4,normal
1697489931.68,42.842,600.0,4.0,10.4,normal
1697489932.183,43.816,1800.0,12.5,9.9,normal
1697489932.686,45.277,1800.0,37.3,10.3,normal
1697489933.188,43.816,1800.0,7.4,10.3,normal
1697489933.691,44.303,1800.0,3.0,10.3,normal
1697489934.193,43.816,1800.0,4.0,10.3,normal
1697489934.696,44.303,1800.0,3.0,10.3,normal
1697489935.199,44.303,1800.0,3.0,10.3,normal
1697489935.701,43.816,1800.0,3.0,10.3,normal
1697489936.204,44.303,1800.0,3.0,10.3,normal
1697489936.706,43.816,1800.0,3.5,10.3,normal
1697489937.212,43.329,600.0,3.9,10.3,normal
1697489937.718,43.329,600.0,4.5,10.3,normal
1697489938.221,44.79,1800.0,21.0,9.9,normal
1697489938.724,44.79,1800.0,33.3,10.2,normal
1697489939.228,44.79,1800.0,4.9,10.2,normal
1697489939.732,44.303,1800.0,3.5,10.3,normal
1697489940.234,43.816,1800.0,4.0,10.3,normal
1697489940.737,44.303,1800.0,3.0,10.3,normal
1697489941.24,43.816,1800.0,5.0,10.3,normal
1697489941.742,43.329,1800.0,5.9,10.3,normal
1697489942.245,43.816,1800.0,3.5,10.3,normal
1697489942.747,44.303,1800.0,4.0,10.3,normal
1697489943.255,43.816,600.0,4.4,10.3,normal
1697489943.761,44.303,600.0,7.9,10.3,normal
1697489944.265,45.277,1800.0,27.2,10.0,normal
1697489944.767,43.329,1800.0,28.2,10.3,normal
1697489945.27,44.303,1800.0,4.0,10.3,normal
1697489945.772,44.303,1800.0,3.0,10.3,normal
1697489946.275,43.816,1800.0,1.5,10.3,normal
1697489946.777,44.303,1800.0,5.5,10.3,normal
1697489947.28,43.816,1800.0,3.5,10.3,normal
1697489947.783,44.303,1800.0,4.0,10.3,normal
1697489948.285,44.79,1800.0,5.0,10.3,normal
1697489948.788,44.303,1800.0,4.5,10.3,normal
1697489949.293,43.816,700.0,3.5,10.3,normal
1697489949.798,43.329,600.0,5.4,10.3,normal
1697489950.301,44.303,1800.0,21.9,10.0,normal
1697489950.803,44.79,1800.0,31.8,10.3,normal
1697489951.306,45.764,1800.0,3.5,10.3,normal
1697489951.808,44.79,1800.0,3.5,10.3,normal
1697489952.311,43.816,1800.0,3.5,10.3,normal
1697489952.814,45.277,1800.0,4.0,10.3,normal
1697489953.316,44.303,1800.0,5.0,10.4,normal
1697489953.819,45.277,1800.0,3.5,10.4,normal
1697489954.322,43.816,1800.0,4.0,10.4,normal
1697489954.824,43.816,1800.0,5.4,10.4,normal
1697489955.329,43.816,700.0,5.4,10.4,normal
1697489955.834,43.816,800.0,5.4,10.4,normal
1697489956.338,44.303,1800.0,26.2,10.1,normal
1697489956.84,44.303,1800.0,26.5,10.3,normal
1697489957.343,44.303,1800.0,3.0,10.3,normal
1697489957.846,45.277,1800.0,4.0,10.3,normal
1697489958.348,44.303,1800.0,4.0,10.3,normal
1697489958.851,44.303,1800.0,4.5,10.3,normal
1697489959.353,44.303,1800.0,3.5,10.3,normal
1697489959.856,43.816,1800.0,4.5,10.3,normal
1697489960.359,43.329,1800.0,3.0,10.3,normal
1697489960.861,44.79,1800.0,3.9,10.3,normal
1697489961.366,44.303,800.0,3.0,10.3,normal
1697489961.87,43.816,1000.0,5.9,10.3,normal
1697489962.372,44.79,1800.0,20.9,9.9,normal
1697489962.875,44.303,1800.0,34.2,10.3,normal
1697489963.378,45.277,1800.0,5.4,10.3,normal
1697489963.88,45.277,1800.0,3.0,10.3,normal
1697489964.383,43.816,1800.0,4.0,10.3,normal
1697489964.886,44.303,1800.0,3.9,10.3,normal
1697489965.388,43.816,1800.0,3.0,10.3,normal
1697489965.891,44.79,1800.0,4.0,10.3,normal
1697489966.393,43.329,1800.0,3.0,10.3,normal
1697489966.896,44.303,1800.0,5.4,10.3,normal
1697489967.401,44.303,700.0,4.9,10.3,normal
1697489967.904,43.816,1200.0,5.0,10.3,normal
1697489968.408,45.277,1800.0,29.0,10.0,normal
1697489968.91,44.79,1800.0,29.9,10.4,normal
1697489969.413,44.79,1800.0,2.5,10.4,normal
1697489969.915,44.79,1800.0,4.5,10.4,normal
1697489970.418,43.816,1800.0,3.0,10.3,normal
1697489970.921,44.79,1800.0,3.0,10.4,normal
1697489971.423,44.303,1800.0,3.0,10.3,normal
1697489971.926,44.303,1800.0,4.0,10.3,normal
1697489972.428,44.303,1800.0,3.0,10.4,normal
1697489972.931,43.816,1800.0,4.5,10.3,normal
1697489973.436,43.816,725.0,4.9,10.3,normal
1697489973.94,43.329,1100.0,4.5,10.4,normal
1697489974.443,43.329,1800.0,17.1,9.9,normal
1697489974.945,44.303,1800.0,35.4,10.4,normal
1697489975.448,45.277,1800.0,3.5,10.4,normal
1697489975.95,44.303,1800.0,4.4,10.3,normal
1697489976.453,44.79,1800.0,3.0,10.4,normal
1697489976.956,44.303,1800.0,3.9,10.3,normal
1697489977.458,44.79,1800.0,4.0,10.4,normal
1697489977.961,43.816,1800.0,4.5,10.3,normal
1697489978.463,44.79,1800.0,15.5,10.3,normal
1697489978.966,44.79,1800.0,4.0,10.3,normal
1697489979.471,44.303,700.0,4.4,10.3,normal
1697489979.975,43.329,800.0,5.5,10.3,normal
1697489980.479,44.79,1800.0,10.4,9.5,normal
1697489980.983,45.764,1800.0,33.2,10.1,normal
1697489981.486,44.79,1800.0,13.1,10.2,normal
1697489981.988,43.816,1800.0,5.9,10.2,normal
1697489982.491,44.79,1800.0,4.5,10.2,normal
1697489982.993,44.79,1800.0,3.5,10.2,normal
1697489983.496,45.277,1800.0,4.5,10.2,normal
1697489983.999,43.816,1800.0,3.9,10.3,normal
1697489984.501,43.816,1800.0,4.0,10.3,normal
1697489985.004,44.79,1800.0,2.5,10.3,normal
1697489985.509,45.277,700.0,5.0,10.3,normal
1697489986.014,44.303,600.0,5.0,10.3,normal
1697489986.52,45.277,600.0,4.0,10.2,normal
1697489987.024,44.303,1800.0,29.4,10.0,normal
1697489987.527,45.764,1800.0,25.1,10.3,normal
1697489988.029,43.816,1800.0,4.0,10.3,normal
1697489988.532,44.303,1800.0,6.0,10.3,normal
1697489989.034,45.277,1800.0,4.0,10.3,normal
1697489989.537,45.277,1800.0,4.0,10.3,normal
1697489990.039,44.79,1800.0,4.0,10.3,normal
1697489990.542,43.816,1800.0,3.5,10.3,normal
1697489991.045,44.303,1800.0,3.5,10.3,normal
1697489991.547,43.816,1800.0,3.5,10.3,normal
1697489992.052,43.816,800.0,4.5,10.3,normal
1697489992.557,44.79,600.0,6.3,10.3,normal
1697489993.06,44.79,1800.0,22.0,10.0,normal
1697489993.563,45.277,1800.0,35.5,10.3,normal
1697489994.065,44.303,1800.0,4.0,10.3,normal
1697489994.568,44.303,1800.0,4.5,10.3,normal
1697489995.07,44.79,1800.0,3.0,10.3,normal
1697489995.573,44.303,1800.0,3.5,10.3,normal
1697489996.075,44.79,1800.0,3.5,10.3,normal
1697489996.578,44.303,1800.0,3.5,10.3,normal
1697489997.081,45.277,1800.0,4.5,10.3,normal
1697489997.583,43.816,1800.0,3.0,10.3,normal
1697489998.089,43.816,600.0,5.0,10.3,normal
1697489998.595,42.842,600.0,5.0,10.3,normal
1697489999.098,44.79,1800.0,15.3,9.9,normal
1697489999.6,45.764,1800.0,36.7,10.3,normal
1697490000.103,44.79,1800.0,5.4,10.3,normal
1697490000.606,45.277,1800.0,4.0,10.3,normal
1697490001.108,44.303,1800.0,4.0,10.3,normal
1697490001.611,44.303,1800.0,3.0,10.3,normal
1697490002.113,45.277,1800.0,3.0,10.3,normal
1697490002.616,44.303,1800.0,3.5,10.3,normal
1697490003.119,44.79,1800.0,5.4,10.3,normal
1697490003.621,44.79,1800.0,3.5,10.3,normal
1697490004.127,44.303,600.0,4.4,10.3,normal
1697490004.632,43.816,600.0,5.4,10.3,normal
1697490005.137,44.303,800.0,9.5,9.3,normal
1697490005.641,44.79,1800.0,28.7,10.2,normal
1697490006.143,44.303,1800.0,19.7,10.3,normal
1697490006.646,44.303,1800.0,5.0,10.3,normal
1697490007.148,45.764,1800.0,2.5,10.3,normal
1697490007.651,45.277,1800.0,4.9,10.3,normal
1697490008.153,44.303,1800.0,3.5,10.3,normal
1697490008.656,43.816,1800.0,4.0,10.3,normal
1697490009.159,44.79,1800.0,4.0,10.3,normal
1697490009.662,44.79,1800.0,5.0,10.3,normal
1697490010.164,45.277,1800.0,3.5,10.3,normal
1697490010.67,44.303,600.0,4.4,10.3,normal
1697490011.175,45.277,1100.0,13.6,9.7,normal
1697490011.68,44.79,1800.0,32.3,10.2,normal
1697490012.183,43.816,1800.0,15.8,10.3,normal
1697490012.686,44.303,1800.0,3.5,10.3,normal
1697490013.188,43.816,1800.0,4.0,10.3,normal
1697490013.691,44.303,1800.0,4.0,10.3,normal
1697490014.193,44.79,1800.0,3.0,10.3,normal
1697490014.696,44.79,1800.0,3.0,10.3,normal
1697490015.198,44.303,1800.0,2.5,10.3,normal
1697490015.701,44.79,1800.0,2.5,10.3,normal
1697490016.203,42.842,1800.0,3.5,10.3,normal
1697490016.709,45.277,600.0,3.9,10.3,normal
1697490017.214,43.816,600.0,4.9,10.3,normal
1697490017.718,45.277,1800.0,29.0,10.1,normal
1697490018.22,44.303,1800.0,26.7,10.3,normal
1697490018.723,44.79,1800.0,4.0,10.3,normal
1697490019.226,44.79,1800.0,4.0,10.3,normal
1697490019.729,44.303,1800.0,3.0,10.3,normal
1697490020.232,44.79,1800.0,5.0,10.3,normal
1697490020.734,44.79,1800.0,4.0,10.3,normal
1697490021.237,44.79,1800.0,2.5,10.3,normal
1697490021.739,44.303,1800.0,3.5,10.3,normal
1697490022.242,44.79,1800.0,4.5,10.3,normal
1697490022.747,43.816,800.0,5.0,10.3,normal
1697490023.253,44.303,700.0,11.3,9.3,normal
1697490023.757,45.764,1800.0,29.0,10.2,normal
1697490024.259,44.79,1800.0,20.8,10.3,normal
1697490024.762,45.764,1800.0,3.5,10.3,normal
1697490025.264,45.764,1800.0,3.0,10.3,normal
1697490025.767,44.79,1800.0,3.5,10.3,normal
1697490026.27,44.303,1800.0,3.0,10.3,normal
1697490026.773,44.303,1800.0,3.5,10.3,normal
1697490027.276,44.303,1800.0,4.5,10.3,normal
1697490027.778,45.277,1800.0,5.9,10.3,normal
1697490028.283,45.277,700.0,5.4,10.3,normal
1697490028.789,44.303,600.0,4.0,10.3,normal
1697490029.295,45.277,600.0,4.4,10.3,normal
1697490029.799,44.79,1800.0,26.1,10.0,normal
1697490030.301,45.764,1800.0,27.6,10.3,normal
1697490030.804,44.303,1800.0,3.0,10.3,normal
1697490031.307,43.329,1800.0,3.9,10.3,normal
1697490031.809,44.79,1800.0,3.0,10.3,normal
1697490032.312,42.842,1800.0,3.5,10.3,normal
1697490032.814,45.277,1800.0,4.0,10.3,normal
1697490033.317,44.303,1800.0,4.5,10.3,normal
1697490033.819,44.79,1800.0,3.5,10.3,normal
1697490034.322,44.303,1800.0,3.5,10.3,normal
1697490034.827,45.764,800.0,5.4,10.3,normal
1697490035.332,43.329,1800.0,7.5,10.2,normal
1697490035.836,44.79,1800.0,29.2,10.2,normal
1697490036.338,45.277,1800.0,20.6,10.3,normal
1697490036.841,45.764,1800.0,3.5,10.3,normal
1697490037.344,43.816,1800.0,3.0,10.3,normal
1697490037.846,45.277,1800.0,3.5,10.3,normal
1697490038.349,44.79,1800.0,3.0,10.3,normal
1697490038.851,44.79,1800.0,4.5,10.3,normal
1697490039.354,43.816,1800.0,4.0,10.3,normal
1697490039.856,44.79,1800.0,4.0,10.3,normal
1697490040.361,45.277,700.0,4.0,10.3,normal
1697490040.866,43.816,900.0,5.4,10.3,normal
1697490041.37,45.277,1000.0,5.9,10.3,normal
1697490041.874,45.277,1800.0,27.2,10.1,normal
1697490042.377,44.79,1800.0,27.1,10.3,normal
1697490042.879,45.764,1800.0,3.5,10.3,normal
1697490043.382,45.277,1800.0,5.0,10.3,normal
1697490043.885,44.79,1800.0,4.5,10.3,normal
1697490044.387,44.79,1800.0,3.0,10.3,normal
1697490044.89,45.764,1800.0,2.5,10.3,normal
1697490045.392,43.816,1800.0,4.9,10.3,normal
1697490045.895,44.303,1800.0,2.0,10.3,normal
1697490046.397,44.303,1800.0,1.0,10.3,normal
1697490046.902,44.303,800.0,2.0,10.3,normal
1697490047.408,43.816,600.0,1.0,10.3,normal
1697490047.911,44.79,1800.0,24.7,9.9,normal
1697490048.414,45.764,1800.0,37.3,10.3,normal
1697490048.916,44.303,1800.0,3.5,10.3,normal
1697490049.419,44.79,1800.0,3.5,10.3,normal
1697490049.921,43.816,1800.0,5.0,10.3,normal
1697490050.424,44.303,1800.0,3.5,10.3,normal
1697490050.926,44.79,1800.0,3.5,10.3,normal
1697490051.429,44.303,1800.0,3.0,10.3,normal
1697490051.931,44.79,1800.0,3.5,10.3,normal
1697490052.434,44.79,1800.0,4.0,10.3,normal
1697490052.939,44.79,600.0,3.9,10.4,normal
1697490053.445,44.303,600.0,5.9,10.4,normal
1697490053.948,45.277,1800.0,24.6,10.0,normal
1697490054.451,45.764,1800.0,30.0,10.3,normal
1697490054.953,43.816,1800.0,1.5,10.3,normal
1697490055.456,44.79,1800.0,3.5,10.3,normal
1697490055.959,43.816,1800.0,3.5,10.3,normal
1697490056.461,44.303,1800.0,2.0,10.3,normal
1697490056.964,45.764,1800.0,2.5,10.3,normal
1697490057.466,44.303,1800.0,3.0,10.3,normal
1697490057.969,44.303,1800.0,3.5,10.3,normal
1697490058.471,44.79,1800.0,4.0,10.3,normal
1697490058.977,44.303,600.0,4.5,10.3,normal
1697490059.481,45.277,900.0,6.0,10.2,normal
1697490059.984,45.277,1800.0,28.7,10.1,normal
1697490060.487,44.303,1800.0,24.9,10.3,normal
1697490060.99,45.764,1800.0,3.5,10.3,normal
1697490061.492,44.79,1800.0,3.5,10.3,normal
1697490061.995,44.303,1800.0,4.5,10.3,normal
1697490062.497,44.303,1800.0,3.0,10.3,normal
1697490063.0,43.816,1800.0,4.0,10.3,normal
1697490063.503,44.79,1800.0,4.0,10.3,normal
1697490064.006,44.303,1800.0,4.4,10.3,normal
1697490064.508,44.303,1800.0,3.0,10.3,normal
1697490065.013,43.816,800.0,4.5,10.3,normal
1697490065.517,44.79,1200.0,10.4,9.4,normal
1697490066.02,45.277,1800.0,31.7,10.2,normal
1697490066.523,45.277,1800.0,17.0,10.3,normal
1697490067.026,44.79,1800.0,3.5,10.3,normal
1697490067.528,45.764,1800.0,2.5,10.3,normal
1697490068.031,45.764,1800.0,4.5,10.3,normal
1697490068.533,44.79,1800.0,3.5,10.3,normal
1697490069.036,44.79,1800.0,3.5,10.3,normal
1697490069.539,45.277,1800.0,4.0,10.3,normal
1697490070.041,44.79,1800.0,4.0,10.3,normal
1697490070.544,44.79,1800.0,4.4,10.3,normal
1697490071.048,45.277,800.0,8.5,10.3,normal
1697490071.551,45.277,1800.0,16.3,9.9,normal
1697490072.054,44.79,1800.0,37.5,10.3,normal
1697490072.557,44.79,1800.0,5.4,10.3,normal
1697490073.059,45.764,1800.0,5.0,10.3,normal
1697490073.562,44.303,1800.0,4.0,10.3,normal
1697490074.064,44.79,1800.0,4.5,10.3,normal
1697490074.567,45.277,1800.0,3.5,10.3,normal
1697490075.07,44.79,1800.0,4.0,10.3,normal
1697490075.572,43.816,1800.0,3.5,10.3,normal
1697490076.075,45.277,1800.0,5.0,10.3,normal
1697490076.579,44.79,800.0,4.4,10.3,normal
1697490077.084,45.277,700.0,5.0,10.3,normal
1697490077.587,45.277,1800.0,21.0,10.0,normal
1697490078.09,45.764,1800.0,32.3,10.3,normal
1697490078.593,45.277,1800.0,4.5,10.3,normal
1697490079.095,44.79,1800.0,3.5,10.3,normal
1697490079.598,44.79,1800.0,3.5,10.3,normal
1697490080.1,44.303,1800.0,3.5,10.3,normal
1697490080.603,44.79,1800.0,3.5,10.3,normal
1697490081.105,44.79,1800.0,4.5,10.3,normal
1697490081.608,45.277,1800.0,3.5,10.3,normal
1697490082.111,44.79,1800.0,4.5,10.3,normal
1697490082.616,44.303,600.0,5.4,10.3,normal
1697490083.121,44.303,800.0,7.4,10.4,normal
1697490083.623,44.303,1800.0,18.0,9.9,normal
1697490084.126,45.277,1800.0,37.2,10.3,normal
1697490084.629,45.277,1800.0,14.9,10.3,normal
1697490085.132,45.764,1800.0,5.0,10.3,normal
1697490085.634,44.303,1800.0,3.0,10.3,normal
1697490086.137,45.277,1800.0,3.0,10.3,normal
1697490086.639,45.277,1800.0,4.0,10.3,normal
1697490087.142,44.303,1800.0,4.0,10.3,normal
1697490087.644,44.303,1800.0,4.5,10.3,normal
1697490088.147,44.79,1800.0,7.4,10.3,normal
1697490088.653,44.303,600.0,4.4,10.3,normal
1697490089.158,44.79,700.0,4.5,10.3,normal
1697490089.661,44.79,1800.0,10.9,9.2,normal
1697490090.163,45.277,1800.0,29.6,10.1,normal
1697490090.666,45.764,1800.0,20.6,10.3,normal
1697490091.168,45.277,1800.0,4.5,10.3,normal
1697490091.671,45.764,1800.0,5.0,10.3,normal
1697490092.174,45.277,1800.0,3.0,10.3,normal
1697490092.676,44.303,1800.0,3.5,10.3,normal
1697490093.179,43.816,1800.0,4.5,10.3,normal
1697490093.681,44.79,1800.0,3.0,10.3,normal
1697490094.184,44.303,1800.0,4.0,10.3,normal
1697490094.69,44.303,700.0,3.9,10.3,normal
1697490095.193,44.79,1800.0,9.4,10.3,normal
1697490095.696,44.79,1800.0,3.0,10.3,normal
1697490096.2,45.764,1800.0,27.7,10.1,normal
1697490096.702,44.79,1800.0,24.1,10.3,normal
1697490097.205,44.79,1800.0,3.0,10.3,normal
