Temps,Delay
1697453590161.0,7
1697453595163.0,7
1697453600164.0,7
1697453605170.0,7
1697453610175.0,8
1697453615175.0,7
1697453620180.0,7
1697453625182.0,7
1697453630183.0,8
1697453635185.0,8
1697453640189.0,8
1697453645189.0,7
1697453650194.0,7
1697453655196.0,7
1697453660197.0,7
1697453665201.0,7
1697453670207.0,7
1697453675208.0,7
1697453680215.0,9
1697453685214.0,7
1697453690214.0,7
1697453695217.0,7
1697453700222.0,7
1697453705224.0,8
1697453710228.0,7
1697453715229.0,7
1697453720232.0,8
1697453725237.0,8
1697453730241.0,7
1697453735242.0,7
1697453740247.0,7
1697453745249.0,7
1697453750249.0,6
1697453755256.0,10
1697453760258.0,7
1697453765260.0,7
1697453770265.0,7
1697453775267.0,7
1697453780268.0,7
1697453785273.0,7
1697453790274.0,3
1697453795279.0,7
1697453800284.0,7
1697453805285.0,7
1697453810284.0,6
1697453815288.0,7
1697453820293.0,7
1697453825294.0,7
1697453830299.0,7
1697453835301.0,7
1697453840304.0,9
1697453845307.0,7
1697453850313.0,7
1697453855314.0,7
1697453860319.0,7
1697453865320.0,6
1697453870321.0,7
1697453875324.0,7
1697453880330.0,8
1697453885331.0,7
1697453890336.0,8
1697453895337.0,8
1697453900337.0,7
1697453905343.0,7
1697453910348.0,7
1697453915349.0,7
1697453920355.0,8
1697453925356.0,7
1697453930356.0,6
1697453935359.0,7
1697453940363.0,7
1697453945364.0,7
1697453950366.0,7
1697453955368.0,7
1697453960369.0,7
1697453965373.0,6
1697453970378.0,7
1697453975380.0,7
1697453980385.0,7
1697453985387.0,7
1697453990387.0,7
1697453995390.0,7
1697454000395.0,7
1697454005396.0,7
1697454010406.0,11
1697454015404.0,7
1697454020405.0,7
1697454025410.0,7
1697454030416.0,7
1697454035416.0,7
1697454040419.0,6
1697454045421.0,6
1697454050422.0,7
1697454055425.0,7
1697454060430.0,7
1697454065432.0,7
1697454070437.0,7
1697454075439.0,7
1697454080440.0,7
1697454085445.0,7
1697454090448.0,6
1697454095450.0,7
1697454100455.0,7
1697454105457.0,7
1697454110456.0,6
1697454115457.0,6
1697454120464.0,7
1697454125465.0,7
1697454130470.0,7
1697454135472.0,7
1697454140473.0,6
1697454145479.0,7
1697454150484.0,7
1697454155486.0,7
1697454160491.0,7
1697454165493.0,7
1697454170493.0,7
1697454175496.0,7
1697454180501.0,7
1697454185503.0,7
1697454190508.0,8
1697454195509.0,7
1697454200510.0,6
1697454205516.0,6
1697454210522.0,7
1697454215528.0,12
1697454220528.0,7
1697454225530.0,7
1697454230531.0,7
1697454235534.0,7
1697454240539.0,8
1697454245539.0,7
1697454250544.0,7
1697454255547.0,8
1697454260547.0,6
1697454265552.0,7
1697454270557.0,6
1697454275559.0,6
1697454280565.0,7
1697454285567.0,7
1697454290566.0,6
1697454295570.0,6
1697454300576.0,7
1697454305577.0,7
1697454310584.0,9
1697454315584.0,7
1697454320585.0,7
1697454325589.0,6
1697454330595.0,7
1697454335596.0,7
1697454340600.0,7
1697454345603.0,8
1697454350602.0,7
1697454355604.0,6
1697454360609.0,6
1697454365611.0,7
1697454370617.0,7
1697454375619.0,7
1697454380621.0,7
1697454385626.0,7
1697454390630.0,7
1697454395632.0,8
1697454400638.0,9
1697454405638.0,7
1697454410637.0,6
1697454415641.0,6
1697454420646.0,6
1697454425648.0,7
1697454430653.0,6
1697454435656.0,7
1697454440659.0,8
1697454445663.0,7
1697454450668.0,7
1697454455669.0,7
1697454460674.0,7
1697454465676.0,7
1697454470675.0,6
1697454475679.0,6
1697454480684.0,6
1697454485686.0,7
1697454490693.0,9
1697454495693.0,7
1697454500695.0,7
1697454505700.0,7
1697454510705.0,7
1697454515706.0,7
1697454520711.0,7
1697454525712.0,6
1697454530713.0,7
1697454535715.0,6
1697454540720.0,6
1697454545722.0,7
1697454550727.0,7
1697454555728.0,6
1697454560730.0,7
1697454565735.0,7
1697454570740.0,7
1697454575741.0,6
1697454580747.0,7
1697454585750.0,8
1697454590749.0,7
1697454595752.0,7
1697454600757.0,7
1697454605758.0,7
1697454610763.0,7
1697454615765.0,7
1697454620766.0,6
1697454625771.0,6
1697454630777.0,7
1697454635778.0,7
1697454640783.0,7
1697454645785.0,7
1697454650784.0,6
1697454655792.0,11
1697454660793.0,6
1697454665795.0,7
1697454670800.0,7
1697454675802.0,7
1697454680805.0,8
1697454685809.0,6
1697454690815.0,6
1697454695818.0,7
1697454700823.0,6
1697454705825.0,7
1697454710824.0,6
1697454715828.0,7
1697454720833.0,6
1697454725835.0,7
1697454730840.0,7
1697454735842.0,7
1697454740843.0,7
1697454745848.0,7
1697454750853.0,6
1697454755855.0,7
1697454760860.0,7
1697454765862.0,7
1697454770861.0,6
1697454775867.0,9
1697454780870.0,7
1697454785871.0,6
1697454790876.0,6
1697454795879.0,7
1697454800880.0,6
1697454805886.0,6
1697454810892.0,7
1697454815893.0,7
1697454820898.0,6
1697454825899.0,6
1697454830900.0,7
1697454835902.0,6
1697454840908.0,7
1697454845909.0,7
1697454850913.0,6
