Temps,Tcpu1
1697218193,53.33333333333333
1697218193,53.33333333333333
1697218194,53.33333333333333
1697218195,53.33333333333333
1697218195,53.33333333333333
1697218196,53.33333333333333
1697218196,53.33333333333333
1697218197,53.33333333333333
1697218197,53.33333333333333
1697218198,53.33333333333333
1697218198,53.33333333333333
1697218199,53.33333333333333
1697218199,53.33333333333333
1697218200,53.33333333333333
1697218200,53.33333333333333
1697218201,53.33333333333333
1697218201,53.33333333333333
1697218202,53.33333333333333
1697218202,53.33333333333333
1697218203,53.33333333333333
1697218203,53.33333333333333
1697218204,53.33333333333333
1697218204,53.33333333333333
1697218205,53.33333333333333
1697218205,53.33333333333333
1697218206,53.33333333333333
1697218206,52.77777777777778
1697218207,53.33333333333333
1697218207,53.33333333333333
1697218208,53.33333333333333
1697218208,53.33333333333333
1697218209,53.33333333333333
1697218209,53.33333333333333
1697218210,53.33333333333333
1697218210,53.33333333333333
1697218211,53.33333333333333
1697218211,53.33333333333333
1697218212,53.33333333333333
1697218212,53.33333333333333
1697218213,53.33333333333333
1697218213,53.33333333333333
1697218214,53.33333333333333
1697218214,53.33333333333333
1697218215,52.22222222222222
1697218215,53.33333333333333
1697218216,53.33333333333333
1697218216,53.33333333333333
1697218217,53.33333333333333
1697218217,53.33333333333333
1697218218,53.33333333333333
1697218218,53.33333333333333
1697218219,53.33333333333333
1697218219,53.33333333333333
1697218220,53.33333333333333
1697218220,53.33333333333333
1697218221,53.33333333333333
1697218221,53.33333333333333
1697218222,53.33333333333333
1697218222,53.33333333333333
1697218223,53.33333333333333
1697218223,53.33333333333333
1697218224,53.33333333333333
1697218224,53.33333333333333
1697218225,53.33333333333333
1697218225,53.33333333333333
1697218226,53.33333333333333
1697218226,53.33333333333333
1697218227,53.33333333333333
1697218227,53.33333333333333
1697218228,53.33333333333333
1697218228,53.33333333333333
1697218229,53.33333333333333
1697218229,53.33333333333333
1697218230,53.33333333333333
1697218230,53.33333333333333
1697218231,53.33333333333333
1697218231,53.33333333333333
1697218232,53.33333333333333
1697218232,52.77777777777778
1697218233,53.33333333333333
1697218233,53.33333333333333
1697218234,53.33333333333333
1697218234,53.33333333333333
1697218235,53.33333333333333
1697218235,53.33333333333333
1697218236,53.33333333333333
1697218237,53.33333333333333
1697218237,53.33333333333333
1697218238,53.33333333333333
1697218238,53.33333333333333
1697218239,53.33333333333333
1697218239,53.33333333333333
1697218240,53.33333333333333
1697218240,53.33333333333333
1697218241,53.33333333333333
