,Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
84,1697218299.01,39.92,1800.0,52.7,9.3,normal
85,1697218299.513,40.407,1800.0,39.9,9.6,normal
86,1697218300.016,39.433,1800.0,31.5,9.8,normal
87,1697218300.518,39.433,1800.0,29.9,10.0,normal
88,1697218301.021,40.407,1800.0,30.3,10.2,normal
89,1697218301.524,39.433,1800.0,34.7,9.9,normal
90,1697218302.027,39.92,1800.0,33.7,10.1,normal
91,1697218302.53,41.381,1800.0,29.0,10.3,normal
92,1697218303.033,41.381,1800.0,38.5,10.4,normal
93,1697218303.536,41.381,1800.0,39.1,10.5,normal
94,1697218304.038,39.92,1800.0,15.4,10.6,normal
95,1697218304.542,40.407,1800.0,4.5,10.6,normal
96,1697218305.045,40.407,1800.0,27.4,10.4,normal
97,1697218305.547,41.381,1800.0,25.0,10.6,normal
98,1697218306.05,40.407,1800.0,6.0,10.7,normal
99,1697218306.552,40.407,1800.0,4.5,10.7,normal
100,1697218307.055,40.407,1800.0,4.0,10.7,normal
101,1697218307.557,40.407,1800.0,4.0,10.7,normal
102,1697218308.06,40.407,1800.0,6.9,10.7,normal
103,1697218308.565,39.92,700.0,4.5,10.7,normal
104,1697218309.07,39.92,800.0,6.9,10.7,normal
105,1697218309.575,40.407,700.0,5.0,10.7,normal
106,1697218310.08,39.433,800.0,7.4,10.7,normal
107,1697218310.584,38.946,1800.0,11.9,9.9,normal
108,1697218311.087,41.381,1800.0,32.7,10.7,normal
109,1697218311.59,39.92,1800.0,15.6,10.7,normal
110,1697218312.092,40.894,1800.0,4.0,10.7,normal
111,1697218312.595,39.92,1800.0,3.5,10.7,normal
112,1697218313.098,40.407,1800.0,3.0,10.7,normal
113,1697218313.6,39.92,1800.0,4.0,10.7,normal
114,1697218314.103,39.92,1800.0,5.9,10.7,normal
115,1697218314.605,39.92,1800.0,7.5,10.7,normal
116,1697218315.108,40.894,1800.0,4.5,10.7,normal
117,1697218315.613,39.92,700.0,3.5,10.7,normal
118,1697218316.118,39.433,800.0,5.4,10.7,normal
119,1697218316.621,40.407,1800.0,19.7,10.3,normal
120,1697218317.124,41.381,1800.0,36.5,10.7,normal
121,1697218317.626,39.92,1800.0,3.5,10.8,normal
122,1697218318.129,39.92,1800.0,4.5,10.8,normal
123,1697218318.631,40.894,1800.0,6.0,10.8,normal
124,1697218319.134,40.894,1800.0,4.5,10.8,normal
125,1697218319.637,39.92,1800.0,4.5,10.8,normal
126,1697218320.139,40.407,1800.0,3.5,10.8,normal
127,1697218320.642,39.92,1800.0,3.5,10.8,normal
128,1697218321.144,39.433,1800.0,5.4,10.7,normal
129,1697218321.649,39.92,800.0,4.0,10.7,normal
130,1697218322.153,39.433,800.0,4.5,10.8,normal
131,1697218322.656,40.407,1800.0,12.0,9.7,normal
132,1697218323.16,40.407,1800.0,30.5,10.3,normal
133,1697218323.662,40.407,1800.0,21.4,10.4,normal
134,1697218324.165,38.946,1800.0,3.5,10.4,normal
135,1697218324.668,40.407,1800.0,3.5,10.4,normal
136,1697218325.17,39.92,1800.0,4.5,10.4,normal
137,1697218325.673,39.92,1800.0,3.5,10.4,normal
138,1697218326.175,39.92,1800.0,3.5,10.4,normal
139,1697218326.678,39.92,1800.0,4.0,10.4,normal
140,1697218327.18,40.407,1800.0,3.5,10.4,normal
141,1697218327.685,39.92,800.0,4.4,10.4,normal
142,1697218328.19,40.894,700.0,3.5,10.4,normal
143,1697218328.696,40.894,600.0,4.5,10.4,normal
144,1697218329.199,40.894,1800.0,27.5,10.2,normal
145,1697218329.702,40.407,1800.0,27.9,10.3,normal
146,1697218330.204,40.894,1800.0,4.5,10.3,normal
147,1697218330.707,39.92,1800.0,3.5,10.3,normal
148,1697218331.21,40.407,1800.0,3.5,10.3,normal
149,1697218331.712,40.894,1800.0,4.9,10.2,normal
150,1697218332.215,40.407,1800.0,4.0,10.2,normal
151,1697218332.718,41.381,1800.0,12.6,10.3,normal
152,1697218333.22,40.894,1800.0,19.7,10.3,normal
153,1697218333.723,39.92,1800.0,6.9,10.3,normal
154,1697218334.228,39.92,700.0,14.9,10.3,normal
155,1697218334.734,40.894,1800.0,9.0,9.3,normal
156,1697218335.238,41.868,1800.0,30.3,10.1,normal
157,1697218335.741,41.868,1800.0,17.5,10.3,normal
158,1697218336.244,41.381,1800.0,3.9,10.3,normal
159,1697218336.746,40.894,1800.0,2.5,10.3,normal
160,1697218337.249,41.381,1800.0,3.9,10.3,normal
161,1697218337.752,40.894,1800.0,4.0,10.3,normal
162,1697218338.255,41.381,1800.0,5.4,10.3,normal
163,1697218338.758,41.381,1800.0,3.5,10.3,normal
164,1697218339.263,40.407,700.0,5.0,10.3,normal
165,1697218339.767,39.92,900.0,5.4,10.3,normal
166,1697218340.272,40.407,1000.0,8.4,10.3,normal
167,1697218340.774,40.894,1800.0,15.6,9.8,normal
168,1697218341.277,41.868,1800.0,38.3,10.3,normal
169,1697218341.78,41.868,1800.0,7.9,10.3,normal
170,1697218342.282,40.894,1800.0,1.5,10.3,normal
171,1697218342.785,39.92,1800.0,5.0,10.3,normal
172,1697218343.288,41.381,1800.0,4.0,10.3,normal
173,1697218343.79,40.894,1800.0,5.4,10.3,normal
174,1697218344.293,41.381,1800.0,3.0,10.3,normal
175,1697218344.796,40.407,1800.0,4.0,10.3,normal
176,1697218345.298,41.381,1800.0,4.0,10.3,normal
177,1697218345.801,41.381,1800.0,8.9,10.3,normal
178,1697218346.303,40.894,1800.0,1.0,10.3,normal
179,1697218346.806,42.355,1800.0,21.0,10.0,normal
180,1697218347.309,40.894,1800.0,32.5,10.3,normal
181,1697218347.812,40.894,1800.0,4.0,10.3,normal
182,1697218348.315,41.381,1800.0,6.5,10.3,normal
183,1697218348.817,41.381,1800.0,5.4,10.3,normal
184,1697218349.32,40.407,1800.0,4.0,10.3,normal
185,1697218349.822,40.894,1800.0,4.5,10.3,normal
186,1697218350.325,41.868,1800.0,4.0,10.3,normal
187,1697218350.83,40.894,700.0,4.9,10.3,normal
188,1697218351.334,39.92,900.0,4.0,10.3,normal
189,1697218351.838,40.894,900.0,5.0,10.3,normal
190,1697218352.342,40.894,1000.0,5.0,10.4,normal
191,1697218352.845,40.407,1800.0,17.4,9.9,normal
192,1697218353.347,41.868,1800.0,37.2,10.3,normal
193,1697218353.85,42.355,1800.0,6.0,10.4,normal
194,1697218354.352,40.894,1800.0,4.0,10.4,normal
195,1697218354.855,40.894,1800.0,5.0,10.4,normal
196,1697218355.358,42.355,1800.0,3.5,10.4,normal
197,1697218355.86,40.894,1800.0,3.5,10.4,normal
198,1697218356.363,40.894,1800.0,5.0,10.4,normal
199,1697218356.865,41.381,1800.0,2.5,10.4,normal
200,1697218357.368,41.381,1800.0,4.0,10.4,normal
201,1697218357.872,40.407,800.0,4.0,10.4,normal
202,1697218358.376,40.407,1000.0,5.9,10.4,normal
203,1697218358.879,41.868,1800.0,22.4,9.9,normal
204,1697218359.382,41.381,1800.0,36.8,10.3,normal
205,1697218359.884,41.381,1800.0,3.5,10.3,normal
206,1697218360.387,41.868,1800.0,5.0,10.3,normal
207,1697218360.89,40.894,1800.0,3.5,10.3,normal
208,1697218361.392,41.381,1800.0,4.0,10.3,normal
209,1697218361.895,41.868,1800.0,3.5,10.3,normal
210,1697218362.397,40.894,1800.0,4.0,10.3,normal
211,1697218362.9,41.868,1800.0,4.5,10.4,normal
212,1697218363.402,40.894,1800.0,4.5,10.3,normal
213,1697218363.906,41.381,900.0,3.5,10.3,normal
214,1697218364.411,39.92,700.0,5.0,10.4,normal
215,1697218364.915,41.868,1800.0,25.7,10.0,normal
216,1697218365.418,41.868,1800.0,29.6,10.3,normal
217,1697218365.92,42.355,1800.0,3.0,10.3,normal
218,1697218366.423,41.868,1800.0,4.5,10.3,normal
219,1697218366.925,41.381,1800.0,3.0,10.3,normal
220,1697218367.428,41.868,1800.0,4.0,10.3,normal
221,1697218367.931,41.868,1800.0,3.5,10.3,normal
222,1697218368.433,41.381,1800.0,4.5,10.3,normal
223,1697218368.936,40.894,1800.0,4.5,10.3,normal
224,1697218369.438,42.355,1800.0,3.5,10.3,normal
225,1697218369.944,39.92,600.0,4.5,10.3,normal
226,1697218370.449,40.894,700.0,5.9,10.3,normal
227,1697218370.952,41.381,1800.0,18.3,9.9,normal
228,1697218371.455,41.868,1800.0,36.2,10.4,normal
229,1697218371.957,42.355,1800.0,3.5,10.4,normal
230,1697218372.46,41.381,1800.0,4.0,10.4,normal
231,1697218372.963,41.868,1800.0,4.0,10.4,normal
232,1697218373.465,41.381,1800.0,4.0,10.4,normal
233,1697218373.968,41.381,1800.0,4.5,10.4,normal
234,1697218374.47,41.381,1800.0,4.5,10.4,normal
235,1697218374.973,41.381,1800.0,3.5,10.4,normal
236,1697218375.475,41.381,1800.0,2.5,10.4,normal
237,1697218375.981,41.381,600.0,3.5,10.4,normal
238,1697218376.485,41.868,1000.0,3.5,10.4,normal
239,1697218376.989,41.868,1200.0,11.4,9.7,normal
240,1697218377.493,41.868,1800.0,29.9,10.2,normal
241,1697218377.996,41.381,1800.0,15.5,10.3,normal
242,1697218378.498,41.381,1800.0,3.5,10.3,normal
243,1697218379.001,41.868,1800.0,4.0,10.4,normal
244,1697218379.503,41.381,1800.0,3.0,10.4,normal
245,1697218380.006,41.868,1800.0,4.0,10.4,normal
246,1697218380.508,40.894,1800.0,5.9,10.4,normal
247,1697218381.011,41.868,1800.0,3.5,10.4,normal
248,1697218381.514,42.355,1800.0,4.0,10.4,normal
249,1697218382.016,42.842,1800.0,4.0,10.4,normal
250,1697218382.522,41.381,600.0,5.9,10.4,normal
251,1697218383.028,41.868,600.0,5.9,10.3,normal
252,1697218383.531,41.868,1800.0,28.2,10.1,normal
253,1697218384.034,41.868,1800.0,27.5,10.3,normal
254,1697218384.536,41.868,1800.0,3.0,10.3,normal
255,1697218385.039,41.868,1800.0,5.9,10.3,normal
256,1697218385.541,41.868,1800.0,3.5,10.3,normal
257,1697218386.044,41.868,1800.0,3.5,10.3,normal
258,1697218386.546,42.355,1800.0,4.0,10.3,normal
259,1697218387.049,42.355,1800.0,4.0,10.3,normal
260,1697218387.552,42.355,1800.0,3.5,10.3,normal
261,1697218388.054,41.868,1800.0,3.5,10.3,normal
262,1697218388.559,41.381,600.0,4.5,10.4,normal
263,1697218389.065,41.868,600.0,6.9,10.4,normal
264,1697218389.568,41.381,1800.0,16.9,9.9,normal
265,1697218390.071,42.842,1800.0,36.5,10.4,normal
266,1697218390.573,40.894,1800.0,3.0,10.4,normal
267,1697218391.076,41.868,1800.0,3.5,10.4,normal
268,1697218391.578,41.868,1800.0,3.5,10.4,normal
269,1697218392.081,42.355,1800.0,4.4,10.4,normal
270,1697218392.583,41.868,1800.0,3.5,10.4,normal
271,1697218393.086,42.355,1800.0,4.0,10.4,normal
272,1697218393.589,41.868,1800.0,4.5,10.4,normal
273,1697218394.091,42.355,1800.0,4.0,10.4,normal
274,1697218394.595,41.868,900.0,4.0,10.4,normal
275,1697218395.099,41.868,900.0,5.4,10.4,normal
276,1697218395.604,43.329,1800.0,11.4,9.6,normal
277,1697218396.108,41.381,1800.0,31.7,10.3,normal
278,1697218396.611,42.355,1800.0,14.6,10.4,normal
279,1697218397.113,41.868,1800.0,3.5,10.4,normal
280,1697218397.616,41.868,1800.0,4.5,10.4,normal
281,1697218398.118,41.381,1800.0,3.5,10.4,normal
282,1697218398.621,42.842,1800.0,4.9,10.4,normal
283,1697218399.124,41.868,1800.0,4.0,10.4,normal
284,1697218399.626,42.355,1800.0,5.0,10.4,normal
285,1697218400.129,41.868,1800.0,5.4,10.4,normal
286,1697218400.634,41.381,700.0,4.4,10.4,normal
287,1697218401.138,42.355,900.0,6.5,10.4,normal
288,1697218401.642,42.355,800.0,5.0,10.3,normal
289,1697218402.146,42.842,1800.0,30.3,10.1,normal
290,1697218402.648,41.868,1800.0,24.1,10.4,normal
291,1697218403.151,42.355,1800.0,3.5,10.4,normal
292,1697218403.654,41.868,1800.0,4.5,10.4,normal
293,1697218404.156,41.868,1800.0,4.0,10.4,normal
294,1697218404.659,42.355,1800.0,4.5,10.4,normal
295,1697218405.161,41.868,1800.0,4.5,10.4,normal
296,1697218405.664,41.868,1800.0,4.0,10.4,normal
297,1697218406.166,41.868,1800.0,4.0,10.4,normal
298,1697218406.669,41.381,1800.0,4.0,10.4,normal
299,1697218407.173,42.355,900.0,3.5,10.4,normal
300,1697218407.678,42.842,1000.0,8.4,9.4,normal
301,1697218408.181,42.355,1800.0,26.4,10.2,normal
302,1697218408.683,42.842,1800.0,23.4,10.3,normal
303,1697218409.186,42.842,1800.0,3.5,10.3,normal
304,1697218409.689,42.842,1800.0,3.0,10.3,normal
305,1697218410.191,42.355,1800.0,3.0,10.4,normal
306,1697218410.694,41.868,1800.0,4.0,10.4,normal
307,1697218411.196,42.355,1800.0,3.0,10.4,normal
308,1697218411.699,42.842,1800.0,3.0,10.4,normal
309,1697218412.201,42.842,1800.0,3.5,10.4,normal
310,1697218412.706,41.381,1300.0,4.0,10.4,normal
311,1697218413.212,41.381,600.0,5.4,10.4,normal
312,1697218413.717,41.868,700.0,6.4,10.4,normal
313,1697218414.222,42.842,1800.0,27.2,10.1,normal
314,1697218414.725,43.816,1800.0,29.2,10.3,normal
315,1697218415.227,42.842,1800.0,4.0,10.3,normal
316,1697218415.73,42.842,1800.0,3.0,10.4,normal
317,1697218416.233,42.842,1800.0,3.0,10.4,normal
318,1697218416.735,42.842,1800.0,5.4,10.4,normal
319,1697218417.238,43.329,1800.0,2.0,10.4,normal
320,1697218417.74,42.355,1800.0,3.0,10.4,normal
321,1697218418.243,43.329,1800.0,3.4,10.4,normal
322,1697218418.746,42.842,1800.0,3.0,10.4,normal
323,1697218419.25,42.842,900.0,4.0,10.4,normal
324,1697218419.754,42.355,800.0,4.4,10.4,normal
325,1697218420.257,42.355,1800.0,18.6,10.0,normal
326,1697218420.76,43.816,1800.0,33.7,10.3,normal
327,1697218421.263,42.842,1800.0,4.5,10.3,normal
328,1697218421.765,42.355,1800.0,2.5,10.3,normal
329,1697218422.268,43.329,1800.0,5.0,10.3,normal
330,1697218422.77,43.329,1800.0,3.5,10.3,normal
331,1697218423.273,42.842,1800.0,3.5,10.3,normal
332,1697218423.776,42.842,1800.0,5.0,10.3,normal
333,1697218424.278,42.842,1800.0,2.5,10.3,normal
334,1697218424.781,42.355,1800.0,4.5,10.3,normal
335,1697218425.287,42.355,600.0,5.5,10.3,normal
336,1697218425.792,42.355,900.0,4.9,10.3,normal
337,1697218426.294,42.355,1800.0,13.1,9.7,normal
338,1697218426.798,44.303,1800.0,37.0,10.3,normal
339,1697218427.301,41.868,1800.0,7.9,10.4,normal
340,1697218427.804,41.868,1800.0,3.5,10.4,normal
341,1697218428.306,42.355,1800.0,3.5,10.4,normal
342,1697218428.809,41.868,1800.0,3.5,10.4,normal
343,1697218429.311,42.355,1800.0,5.0,10.4,normal
344,1697218429.814,42.842,1800.0,3.0,10.4,normal
345,1697218430.316,42.355,1800.0,4.0,10.4,normal
346,1697218430.819,42.842,1800.0,4.0,10.4,normal
347,1697218431.324,43.329,700.0,5.5,10.4,normal
348,1697218431.829,41.868,800.0,5.4,10.4,normal
349,1697218432.333,41.868,1000.0,7.0,10.2,normal
350,1697218432.836,42.355,1800.0,29.6,10.2,normal
351,1697218433.339,42.355,1800.0,23.9,10.3,normal
352,1697218433.841,42.842,1800.0,5.4,10.3,normal
353,1697218434.344,42.842,1800.0,4.0,10.3,normal
354,1697218434.846,42.842,1800.0,4.0,10.3,normal
355,1697218435.349,42.842,1800.0,3.5,10.3,normal
356,1697218435.851,42.355,1800.0,5.4,10.3,normal
357,1697218436.354,42.355,1800.0,3.5,10.3,normal
358,1697218436.856,42.355,1800.0,3.5,10.3,normal
359,1697218437.359,42.355,1800.0,4.9,10.3,normal
360,1697218437.864,41.381,800.0,4.0,10.3,normal
361,1697218438.366,41.381,1800.0,10.0,9.4,normal
362,1697218438.87,42.842,1800.0,31.2,10.2,normal
363,1697218439.373,42.842,1800.0,18.4,10.3,normal
364,1697218439.876,42.355,1800.0,4.0,10.4,normal
365,1697218440.378,43.329,1800.0,4.0,10.4,normal
366,1697218440.881,42.355,1800.0,3.5,10.4,normal
367,1697218441.384,43.329,1800.0,4.9,10.4,normal
368,1697218441.886,42.842,1800.0,3.5,10.4,normal
369,1697218442.389,43.816,1800.0,3.0,10.4,normal
370,1697218442.891,42.355,1800.0,3.9,10.4,normal
371,1697218443.396,42.355,700.0,3.5,10.4,normal
372,1697218443.9,41.381,1000.0,7.4,10.4,normal
373,1697218444.405,41.868,800.0,4.5,10.2,normal
374,1697218444.908,43.816,1800.0,28.7,10.2,normal
375,1697218445.411,42.842,1800.0,26.4,10.4,normal
376,1697218445.913,43.329,1800.0,3.0,10.4,normal
377,1697218446.416,42.842,1800.0,3.5,10.4,normal
378,1697218446.919,42.355,1800.0,4.0,10.4,normal
379,1697218447.421,41.868,1800.0,4.0,10.4,normal
380,1697218447.924,42.355,1800.0,3.9,10.4,normal
381,1697218448.426,42.842,1800.0,4.0,10.4,normal
382,1697218448.929,42.355,1800.0,3.9,10.4,normal
383,1697218449.431,42.355,1800.0,5.0,10.4,normal
384,1697218449.937,41.868,600.0,4.0,10.4,normal
385,1697218450.442,42.355,800.0,5.0,10.4,normal
386,1697218450.945,43.329,1800.0,21.9,10.0,normal
387,1697218451.447,42.842,1800.0,34.0,10.3,normal
388,1697218451.95,42.355,1800.0,2.5,10.3,normal
389,1697218452.452,42.842,1800.0,3.5,10.3,normal
390,1697218452.955,42.842,1800.0,5.0,10.4,normal
391,1697218453.457,42.355,1800.0,6.9,10.4,normal
392,1697218453.96,43.329,1800.0,3.5,10.4,normal
393,1697218454.463,42.355,1800.0,4.0,10.4,normal
394,1697218454.965,42.842,1800.0,4.0,10.4,normal
395,1697218455.468,42.842,1800.0,3.9,10.4,normal
396,1697218455.973,42.842,600.0,3.5,10.4,normal
397,1697218456.478,41.868,700.0,4.0,10.4,normal
398,1697218456.982,42.355,1100.0,14.4,9.8,normal
399,1697218457.485,44.303,1800.0,32.7,10.3,normal
400,1697218457.988,42.842,1800.0,13.9,10.4,normal
401,1697218458.49,42.842,1800.0,4.0,10.4,normal
402,1697218458.993,43.816,1800.0,4.5,10.4,normal
403,1697218459.495,42.842,1800.0,4.0,10.4,normal
404,1697218459.998,43.329,1800.0,2.5,10.4,normal
405,1697218460.501,42.842,1800.0,2.0,10.4,normal
406,1697218461.003,42.842,1800.0,4.0,10.4,normal
407,1697218461.506,43.329,1800.0,3.0,10.4,normal
408,1697218462.008,43.816,1800.0,3.5,10.4,normal
409,1697218462.513,42.842,700.0,4.0,10.4,normal
410,1697218463.019,43.329,600.0,5.4,10.4,normal
411,1697218463.522,43.816,1800.0,28.4,10.2,normal
412,1697218464.025,43.329,1800.0,26.1,10.4,normal
413,1697218464.527,43.329,1800.0,3.5,10.4,normal
414,1697218465.03,42.842,1800.0,4.0,10.4,normal
415,1697218465.533,43.816,1800.0,4.0,10.4,normal
416,1697218466.035,43.329,1800.0,3.9,10.4,normal
417,1697218466.538,42.842,1800.0,2.5,10.4,normal
418,1697218467.04,43.329,1800.0,4.0,10.4,normal
419,1697218467.543,42.842,1800.0,3.5,10.4,normal
420,1697218468.045,42.842,1800.0,3.0,10.4,normal
421,1697218468.551,42.355,600.0,4.9,10.4,normal
422,1697218469.055,41.868,1800.0,12.8,9.4,normal
423,1697218469.559,43.329,1800.0,30.2,10.3,normal
424,1697218470.062,43.329,1800.0,17.1,10.4,normal
425,1697218470.564,43.329,1800.0,3.0,10.4,normal
426,1697218471.067,43.329,1800.0,4.0,10.4,normal
427,1697218471.569,44.303,1800.0,3.5,10.4,normal
428,1697218472.072,43.329,1800.0,3.0,10.4,normal
429,1697218472.575,42.842,1800.0,3.5,10.4,normal
430,1697218473.077,41.868,1800.0,4.5,10.4,normal
431,1697218473.58,42.355,1800.0,3.5,10.4,normal
432,1697218474.085,42.842,700.0,3.9,10.4,normal
433,1697218474.59,42.355,600.0,4.5,10.4,normal
434,1697218475.096,43.816,600.0,6.4,10.4,normal
435,1697218475.599,43.329,1800.0,28.7,10.2,normal
436,1697218476.102,44.79,1800.0,26.2,10.4,normal
437,1697218476.604,44.79,1800.0,2.5,10.4,normal
438,1697218477.107,43.329,1800.0,4.5,10.4,normal
439,1697218477.61,43.329,1800.0,4.0,10.4,normal
440,1697218478.112,43.329,1800.0,4.4,10.4,normal
441,1697218478.615,43.816,1800.0,3.5,10.4,normal
442,1697218479.117,43.816,1800.0,5.0,10.4,normal
443,1697218479.62,43.329,1800.0,4.5,10.4,normal
444,1697218480.122,42.842,1800.0,3.0,10.4,normal
445,1697218480.626,42.355,800.0,5.4,10.4,normal
446,1697218481.131,42.842,700.0,6.9,10.4,normal
447,1697218481.635,44.79,1800.0,22.0,10.1,normal
448,1697218482.137,42.842,1800.0,34.0,10.4,normal
449,1697218482.64,42.842,1800.0,3.5,10.4,normal
450,1697218483.143,42.842,1800.0,4.0,10.4,normal
451,1697218483.645,42.355,1800.0,4.5,10.4,normal
452,1697218484.148,43.329,1800.0,2.5,10.4,normal
453,1697218484.65,42.842,1800.0,4.0,10.4,normal
454,1697218485.153,42.842,1800.0,4.0,10.4,normal
455,1697218485.655,42.842,1800.0,3.0,10.4,normal
456,1697218486.158,42.842,1800.0,3.5,10.4,normal
457,1697218486.662,42.355,700.0,4.5,10.4,normal
458,1697218487.167,42.842,700.0,5.4,10.4,normal
459,1697218487.67,42.842,1800.0,15.9,9.9,normal
460,1697218488.173,43.816,1800.0,36.8,10.3,normal
461,1697218488.676,43.816,1800.0,7.9,10.4,normal
462,1697218489.178,43.816,1800.0,4.5,10.4,normal
463,1697218489.681,42.842,1800.0,3.5,10.4,normal
464,1697218490.184,43.329,1800.0,4.0,10.4,normal
465,1697218490.686,43.329,1800.0,3.0,10.4,normal
466,1697218491.189,43.329,1800.0,2.0,10.4,normal
467,1697218491.691,43.329,1800.0,5.4,10.4,normal
468,1697218492.194,42.842,1800.0,4.0,10.4,normal
469,1697218492.698,43.816,700.0,3.5,10.4,normal
470,1697218493.203,42.842,800.0,4.0,10.4,normal
471,1697218493.71,43.329,1000.0,9.5,9.7,normal
472,1697218494.213,43.816,1800.0,29.9,10.2,normal
473,1697218494.716,43.329,1800.0,22.4,10.3,normal
474,1697218495.219,42.842,1800.0,3.0,10.3,normal
475,1697218495.721,44.303,1800.0,5.5,10.3,normal
476,1697218496.224,43.816,1800.0,3.0,10.3,normal
477,1697218496.726,44.303,1800.0,3.0,10.3,normal
478,1697218497.229,43.816,1800.0,4.5,10.3,normal
479,1697218497.732,44.303,1800.0,4.0,10.4,normal
480,1697218498.234,43.816,1800.0,3.4,10.4,normal
481,1697218498.737,43.816,1800.0,3.5,10.4,normal
