Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697218311.59,39.92,1800.0,15.6,10.7,cluster0
1697218312.092,40.894,1800.0,4.0,10.7,cluster0
1697218312.595,39.92,1800.0,3.5,10.7,cluster0
1697218313.098,40.407,1800.0,3.0,10.7,cluster0
1697218313.6,39.92,1800.0,4.0,10.7,cluster0
1697218314.103,39.92,1800.0,5.9,10.7,cluster0
1697218314.605,39.92,1800.0,7.5,10.7,cluster0
1697218315.108,40.894,1800.0,4.5,10.7,cluster0
1697218315.613,39.92,700.0,3.5,10.7,cluster0
1697218316.118,39.433,800.0,5.4,10.7,cluster0
1697218316.621,40.407,1800.0,19.7,10.3,cluster0
1697218317.124,41.381,1800.0,36.5,10.7,cluster0
1697218317.626,39.92,1800.0,3.5,10.8,cluster0
1697218318.129,39.92,1800.0,4.5,10.8,cluster0
1697218318.631,40.894,1800.0,6.0,10.8,cluster0
1697218319.134,40.894,1800.0,4.5,10.8,cluster0
1697218319.637,39.92,1800.0,4.5,10.8,cluster0
1697218320.139,40.407,1800.0,3.5,10.8,cluster0
1697218320.642,39.92,1800.0,3.5,10.8,cluster0
1697218321.144,39.433,1800.0,5.4,10.7,cluster0
1697218321.649,39.92,800.0,4.0,10.7,cluster0
1697218322.153,39.433,800.0,4.5,10.8,cluster0
1697218322.656,40.407,1800.0,12.0,9.7,cluster0
1697218323.16,40.407,1800.0,30.5,10.3,cluster0
1697218323.662,40.407,1800.0,21.4,10.4,cluster0
1697218324.165,38.946,1800.0,3.5,10.4,cluster0
1697218324.668,40.407,1800.0,3.5,10.4,cluster0
1697218325.17,39.92,1800.0,4.5,10.4,cluster0
1697218325.673,39.92,1800.0,3.5,10.4,cluster0
1697218326.175,39.92,1800.0,3.5,10.4,cluster0
1697218326.678,39.92,1800.0,4.0,10.4,cluster0
1697218327.18,40.407,1800.0,3.5,10.4,cluster0
1697218327.685,39.92,800.0,4.4,10.4,cluster0
1697218328.19,40.894,700.0,3.5,10.4,cluster0
1697218328.696,40.894,600.0,4.5,10.4,cluster0
1697218329.199,40.894,1800.0,27.5,10.2,cluster0
1697218329.702,40.407,1800.0,27.9,10.3,cluster0
1697218330.204,40.894,1800.0,4.5,10.3,cluster0
1697218330.707,39.92,1800.0,3.5,10.3,cluster0
1697218331.21,40.407,1800.0,3.5,10.3,cluster0
1697218331.712,40.894,1800.0,4.9,10.2,cluster0
1697218332.215,40.407,1800.0,4.0,10.2,cluster0
1697218332.718,41.381,1800.0,12.6,10.3,cluster0
1697218333.22,40.894,1800.0,19.7,10.3,cluster0
1697218333.723,39.92,1800.0,6.9,10.3,cluster0
1697218334.228,39.92,700.0,14.9,10.3,cluster0
1697218334.734,40.894,1800.0,9.0,9.3,cluster0
1697218335.238,41.868,1800.0,30.3,10.1,cluster0
1697218335.741,41.868,1800.0,17.5,10.3,cluster0
1697218336.244,41.381,1800.0,3.9,10.3,cluster0
1697218336.746,40.894,1800.0,2.5,10.3,cluster0
1697218337.249,41.381,1800.0,3.9,10.3,cluster0
1697218337.752,40.894,1800.0,4.0,10.3,cluster0
1697218338.255,41.381,1800.0,5.4,10.3,cluster0
1697218338.758,41.381,1800.0,3.5,10.3,cluster0
1697218339.263,40.407,700.0,5.0,10.3,cluster0
1697218339.767,39.92,900.0,5.4,10.3,cluster0
1697218340.272,40.407,1000.0,8.4,10.3,cluster0
1697218340.774,40.894,1800.0,15.6,9.8,cluster0
1697218341.277,41.868,1800.0,38.3,10.3,cluster0
1697218341.78,41.868,1800.0,7.9,10.3,cluster0
1697218342.282,40.894,1800.0,1.5,10.3,cluster0
1697218342.785,39.92,1800.0,5.0,10.3,cluster0
1697218343.288,41.381,1800.0,4.0,10.3,cluster0
1697218343.79,40.894,1800.0,5.4,10.3,cluster0
1697218344.293,41.381,1800.0,3.0,10.3,cluster0
1697218344.796,40.407,1800.0,4.0,10.3,cluster0
1697218345.298,41.381,1800.0,4.0,10.3,cluster0
1697218345.801,41.381,1800.0,8.9,10.3,cluster0
1697218346.303,40.894,1800.0,1.0,10.3,cluster0
1697218346.806,42.355,1800.0,21.0,10.0,cluster0
1697218347.309,40.894,1800.0,32.5,10.3,cluster0
1697218347.812,40.894,1800.0,4.0,10.3,cluster0
1697218348.315,41.381,1800.0,6.5,10.3,cluster0
1697218348.817,41.381,1800.0,5.4,10.3,cluster0
1697218349.32,40.407,1800.0,4.0,10.3,cluster0
1697218349.822,40.894,1800.0,4.5,10.3,cluster0
1697218350.325,41.868,1800.0,4.0,10.3,cluster0
1697218350.83,40.894,700.0,4.9,10.3,cluster0
1697218351.334,39.92,900.0,4.0,10.3,cluster0
1697218351.838,40.894,900.0,5.0,10.3,cluster0
1697218352.342,40.894,1000.0,5.0,10.4,cluster0
1697218352.845,40.407,1800.0,17.4,9.9,cluster0
1697218353.347,41.868,1800.0,37.2,10.3,cluster0
1697218353.85,42.355,1800.0,6.0,10.4,cluster0
1697218354.352,40.894,1800.0,4.0,10.4,cluster0
1697218354.855,40.894,1800.0,5.0,10.4,cluster0
1697218355.358,42.355,1800.0,3.5,10.4,cluster0
1697218355.86,40.894,1800.0,3.5,10.4,cluster0
1697218356.363,40.894,1800.0,5.0,10.4,cluster0
1697218356.865,41.381,1800.0,2.5,10.4,cluster0
1697218357.368,41.381,1800.0,4.0,10.4,cluster0
1697218357.872,40.407,800.0,4.0,10.4,cluster0
1697218358.376,40.407,1000.0,5.9,10.4,cluster0
1697218358.879,41.868,1800.0,22.4,9.9,cluster0
1697218359.382,41.381,1800.0,36.8,10.3,cluster0
1697218359.884,41.381,1800.0,3.5,10.3,cluster0
1697218360.387,41.868,1800.0,5.0,10.3,cluster0
1697218360.89,40.894,1800.0,3.5,10.3,cluster0
1697218361.392,41.381,1800.0,4.0,10.3,cluster0
1697218361.895,41.868,1800.0,3.5,10.3,cluster0
1697218362.397,40.894,1800.0,4.0,10.3,cluster0
1697218362.9,41.868,1800.0,4.5,10.4,cluster0
1697218363.402,40.894,1800.0,4.5,10.3,cluster0
1697218363.906,41.381,900.0,3.5,10.3,cluster0
1697218364.411,39.92,700.0,5.0,10.4,cluster0
1697218364.915,41.868,1800.0,25.7,10.0,cluster0
1697218365.418,41.868,1800.0,29.6,10.3,cluster0
1697218365.92,42.355,1800.0,3.0,10.3,cluster0
1697218366.423,41.868,1800.0,4.5,10.3,cluster0
1697218366.925,41.381,1800.0,3.0,10.3,cluster0
1697218367.428,41.868,1800.0,4.0,10.3,cluster0
1697218367.931,41.868,1800.0,3.5,10.3,cluster0
1697218368.433,41.381,1800.0,4.5,10.3,cluster0
1697218368.936,40.894,1800.0,4.5,10.3,cluster0
1697218369.438,42.355,1800.0,3.5,10.3,cluster0
1697218369.944,39.92,600.0,4.5,10.3,cluster0
1697218370.449,40.894,700.0,5.9,10.3,cluster0
1697218370.952,41.381,1800.0,18.3,9.9,cluster0
1697218371.455,41.868,1800.0,36.2,10.4,cluster0
1697218371.957,42.355,1800.0,3.5,10.4,cluster0
1697218372.46,41.381,1800.0,4.0,10.4,cluster0
1697218372.963,41.868,1800.0,4.0,10.4,cluster0
1697218373.465,41.381,1800.0,4.0,10.4,cluster0
1697218373.968,41.381,1800.0,4.5,10.4,cluster0
1697218374.47,41.381,1800.0,4.5,10.4,cluster0
1697218374.973,41.381,1800.0,3.5,10.4,cluster0
1697218375.475,41.381,1800.0,2.5,10.4,cluster0
1697218375.981,41.381,600.0,3.5,10.4,cluster0
1697218376.485,41.868,1000.0,3.5,10.4,cluster0
1697218376.989,41.868,1200.0,11.4,9.7,cluster0
1697218377.493,41.868,1800.0,29.9,10.2,cluster0
1697218377.996,41.381,1800.0,15.5,10.3,cluster0
1697218378.498,41.381,1800.0,3.5,10.3,cluster0
1697218379.001,41.868,1800.0,4.0,10.4,cluster0
1697218379.503,41.381,1800.0,3.0,10.4,cluster0
1697218380.006,41.868,1800.0,4.0,10.4,cluster0
1697218380.508,40.894,1800.0,5.9,10.4,cluster0
1697218381.011,41.868,1800.0,3.5,10.4,cluster0
1697218381.514,42.355,1800.0,4.0,10.4,cluster0
1697218382.016,42.842,1800.0,4.0,10.4,cluster0
1697218382.522,41.381,600.0,5.9,10.4,cluster0
1697218383.028,41.868,600.0,5.9,10.3,cluster0
1697218383.531,41.868,1800.0,28.2,10.1,cluster0
1697218384.034,41.868,1800.0,27.5,10.3,cluster0
1697218384.536,41.868,1800.0,3.0,10.3,cluster0
1697218385.039,41.868,1800.0,5.9,10.3,cluster0
1697218385.541,41.868,1800.0,3.5,10.3,cluster0
1697218386.044,41.868,1800.0,3.5,10.3,cluster0
1697218386.546,42.355,1800.0,4.0,10.3,cluster0
1697218387.049,42.355,1800.0,4.0,10.3,cluster0
1697218387.552,42.355,1800.0,3.5,10.3,cluster0
1697218388.054,41.868,1800.0,3.5,10.3,cluster0
1697218388.559,41.381,600.0,4.5,10.4,cluster0
1697218389.065,41.868,600.0,6.9,10.4,cluster0
1697218389.568,41.381,1800.0,16.9,9.9,cluster0
1697218390.071,42.842,1800.0,36.5,10.4,cluster0
1697218390.573,40.894,1800.0,3.0,10.4,cluster0
1697218391.076,41.868,1800.0,3.5,10.4,cluster0
1697218391.578,41.868,1800.0,3.5,10.4,cluster0
1697218392.081,42.355,1800.0,4.4,10.4,cluster0
1697218392.583,41.868,1800.0,3.5,10.4,cluster0
1697218393.086,42.355,1800.0,4.0,10.4,cluster0
1697218393.589,41.868,1800.0,4.5,10.4,cluster0
1697218394.091,42.355,1800.0,4.0,10.4,cluster0
1697218394.595,41.868,900.0,4.0,10.4,cluster0
1697218395.099,41.868,900.0,5.4,10.4,cluster0
1697218395.604,43.329,1800.0,11.4,9.6,cluster0
1697218396.108,41.381,1800.0,31.7,10.3,cluster0
1697218396.611,42.355,1800.0,14.6,10.4,cluster0
1697218397.113,41.868,1800.0,3.5,10.4,cluster0
1697218397.616,41.868,1800.0,4.5,10.4,cluster0
1697218398.118,41.381,1800.0,3.5,10.4,cluster0
1697218398.621,42.842,1800.0,4.9,10.4,cluster0
1697218399.124,41.868,1800.0,4.0,10.4,cluster0
1697218399.626,42.355,1800.0,5.0,10.4,cluster0
1697218400.129,41.868,1800.0,5.4,10.4,cluster0
1697218400.634,41.381,700.0,4.4,10.4,cluster0
1697218401.138,42.355,900.0,6.5,10.4,cluster0
1697218401.642,42.355,800.0,5.0,10.3,cluster0
1697218402.146,42.842,1800.0,30.3,10.1,cluster0
1697218402.648,41.868,1800.0,24.1,10.4,cluster0
1697218403.151,42.355,1800.0,3.5,10.4,cluster0
1697218403.654,41.868,1800.0,4.5,10.4,cluster0
1697218404.156,41.868,1800.0,4.0,10.4,cluster0
1697218404.659,42.355,1800.0,4.5,10.4,cluster0
1697218405.161,41.868,1800.0,4.5,10.4,cluster0
1697218405.664,41.868,1800.0,4.0,10.4,cluster0
1697218406.166,41.868,1800.0,4.0,10.4,cluster0
1697218406.669,41.381,1800.0,4.0,10.4,cluster0
1697218407.173,42.355,900.0,3.5,10.4,cluster0
1697218407.678,42.842,1000.0,8.4,9.4,cluster0
1697218408.181,42.355,1800.0,26.4,10.2,cluster0
1697218408.683,42.842,1800.0,23.4,10.3,cluster0
1697218409.186,42.842,1800.0,3.5,10.3,cluster0
1697218409.689,42.842,1800.0,3.0,10.3,cluster0
1697218410.191,42.355,1800.0,3.0,10.4,cluster0
1697218410.694,41.868,1800.0,4.0,10.4,cluster0
1697218411.196,42.355,1800.0,3.0,10.4,cluster0
1697218411.699,42.842,1800.0,3.0,10.4,cluster0
1697218412.201,42.842,1800.0,3.5,10.4,cluster0
1697218412.706,41.381,1300.0,4.0,10.4,cluster0
1697218413.212,41.381,600.0,5.4,10.4,cluster0
1697218413.717,41.868,700.0,6.4,10.4,cluster0
1697218414.222,42.842,1800.0,27.2,10.1,cluster0
1697218414.725,43.816,1800.0,29.2,10.3,cluster0
1697218415.227,42.842,1800.0,4.0,10.3,cluster0
1697218415.73,42.842,1800.0,3.0,10.4,cluster0
1697218416.233,42.842,1800.0,3.0,10.4,cluster0
1697218416.735,42.842,1800.0,5.4,10.4,cluster0
1697218417.238,43.329,1800.0,2.0,10.4,cluster0
1697218417.74,42.355,1800.0,3.0,10.4,cluster0
1697218418.243,43.329,1800.0,3.4,10.4,cluster0
1697218418.746,42.842,1800.0,3.0,10.4,cluster0
1697218419.25,42.842,900.0,4.0,10.4,cluster0
1697218419.754,42.355,800.0,4.4,10.4,cluster0
1697218420.257,42.355,1800.0,18.6,10.0,cluster0
1697218420.76,43.816,1800.0,33.7,10.3,cluster0
1697218421.263,42.842,1800.0,4.5,10.3,cluster0
1697218421.765,42.355,1800.0,2.5,10.3,cluster0
1697218422.268,43.329,1800.0,5.0,10.3,cluster0
1697218422.77,43.329,1800.0,3.5,10.3,cluster0
1697218423.273,42.842,1800.0,3.5,10.3,cluster0
1697218423.776,42.842,1800.0,5.0,10.3,cluster0
1697218424.278,42.842,1800.0,2.5,10.3,cluster0
1697218424.781,42.355,1800.0,4.5,10.3,cluster0
1697218425.287,42.355,600.0,5.5,10.3,cluster0
1697218425.792,42.355,900.0,4.9,10.3,cluster0
1697218426.294,42.355,1800.0,13.1,9.7,cluster0
1697218426.798,44.303,1800.0,37.0,10.3,cluster0
1697218427.301,41.868,1800.0,7.9,10.4,cluster0
1697218427.804,41.868,1800.0,3.5,10.4,cluster0
1697218428.306,42.355,1800.0,3.5,10.4,cluster0
1697218428.809,41.868,1800.0,3.5,10.4,cluster0
1697218429.311,42.355,1800.0,5.0,10.4,cluster0
1697218429.814,42.842,1800.0,3.0,10.4,cluster0
1697218430.316,42.355,1800.0,4.0,10.4,cluster0
1697218430.819,42.842,1800.0,4.0,10.4,cluster0
1697218431.324,43.329,700.0,5.5,10.4,cluster0
1697218431.829,41.868,800.0,5.4,10.4,cluster0
1697218432.333,41.868,1000.0,7.0,10.2,cluster0
1697218432.836,42.355,1800.0,29.6,10.2,cluster0
1697218433.339,42.355,1800.0,23.9,10.3,cluster0
1697218433.841,42.842,1800.0,5.4,10.3,cluster0
1697218434.344,42.842,1800.0,4.0,10.3,cluster0
1697218434.846,42.842,1800.0,4.0,10.3,cluster0
1697218435.349,42.842,1800.0,3.5,10.3,cluster0
1697218435.851,42.355,1800.0,5.4,10.3,cluster0
1697218436.354,42.355,1800.0,3.5,10.3,cluster0
1697218436.856,42.355,1800.0,3.5,10.3,cluster0
1697218437.359,42.355,1800.0,4.9,10.3,cluster0
1697218437.864,41.381,800.0,4.0,10.3,cluster0
1697218438.366,41.381,1800.0,10.0,9.4,cluster0
1697218438.87,42.842,1800.0,31.2,10.2,cluster0
1697218439.373,42.842,1800.0,18.4,10.3,cluster0
1697218439.876,42.355,1800.0,4.0,10.4,cluster0
1697218440.378,43.329,1800.0,4.0,10.4,cluster0
1697218440.881,42.355,1800.0,3.5,10.4,cluster0
1697218441.384,43.329,1800.0,4.9,10.4,cluster0
1697218441.886,42.842,1800.0,3.5,10.4,cluster0
1697218442.389,43.816,1800.0,3.0,10.4,cluster0
1697218442.891,42.355,1800.0,3.9,10.4,cluster0
1697218443.396,42.355,700.0,3.5,10.4,cluster0
1697218443.9,41.381,1000.0,7.4,10.4,cluster0
1697218444.405,41.868,800.0,4.5,10.2,cluster0
1697218444.908,43.816,1800.0,28.7,10.2,cluster0
1697218445.411,42.842,1800.0,26.4,10.4,cluster0
1697218445.913,43.329,1800.0,3.0,10.4,cluster0
1697218446.416,42.842,1800.0,3.5,10.4,cluster0
1697218446.919,42.355,1800.0,4.0,10.4,cluster0
