Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697227167.767,42.842,1800.0,0.0,10.3,normal
1697227168.272,43.816,700.0,1.0,10.3,normal
1697227168.777,43.816,600.0,0.5,10.3,normal
1697227169.28,44.79,1800.0,18.6,10.0,normal
1697227169.783,44.303,1800.0,27.6,10.3,normal
1697227170.286,43.816,1800.0,0.0,10.3,normal
1697227170.788,43.329,1800.0,0.5,10.3,normal
1697227171.29,43.816,1800.0,1.0,10.3,normal
1697227171.793,44.303,1800.0,0.0,10.3,normal
1697227172.295,44.303,1800.0,0.5,10.3,normal
1697227172.798,43.816,1800.0,0.0,10.3,normal
1697227173.3,44.303,1800.0,0.5,10.3,normal
1697227173.802,44.303,1800.0,0.0,10.3,normal
1697227174.308,43.329,600.0,0.5,10.3,normal
1697227174.815,43.329,600.0,4.0,10.2,normal
1697227175.318,44.303,1800.0,25.4,10.2,normal
1697227175.821,44.303,1800.0,17.9,10.4,normal
1697227176.323,44.79,1800.0,1.5,10.4,normal
1697227176.826,44.303,1800.0,0.0,10.4,normal
1697227177.328,43.329,1800.0,0.5,10.4,normal
1697227177.83,44.303,1800.0,0.0,10.4,normal
1697227178.332,43.816,1800.0,0.0,10.4,normal
1697227178.835,42.842,1800.0,0.0,10.4,normal
1697227179.337,43.816,1800.0,0.0,10.4,normal
1697227179.84,43.329,1800.0,0.5,10.4,normal
1697227180.345,42.355,600.0,0.0,10.4,normal
1697227180.849,43.329,1000.0,3.5,10.2,normal
1697227181.353,44.303,1800.0,26.0,10.1,normal
1697227181.855,43.816,1800.0,19.3,10.3,normal
1697227182.358,44.303,1800.0,0.0,10.3,normal
1697227182.86,44.303,1800.0,0.5,10.3,normal
1697227183.363,43.329,1800.0,0.0,10.3,normal
1697227183.865,42.842,1800.0,0.0,10.3,normal
1697227184.37,44.303,1800.0,0.0,10.3,normal
1697227184.873,43.816,1800.0,0.0,10.3,normal
1697227185.375,43.329,1800.0,0.5,10.3,normal
1697227185.877,43.816,1800.0,0.0,10.3,normal
1697227186.383,44.303,600.0,1.0,10.3,normal
1697227186.886,43.816,1200.0,9.5,9.7,normal
1697227187.39,44.79,1800.0,30.5,10.3,normal
1697227187.893,44.303,1800.0,8.0,10.3,normal
1697227188.395,44.303,1800.0,0.0,10.3,normal
1697227188.897,44.303,1800.0,0.0,10.3,normal
1697227189.403,44.303,1800.0,0.0,10.3,normal
1697227189.905,43.329,1800.0,0.0,10.3,normal
1697227190.408,44.79,1800.0,0.5,10.3,normal
1697227190.91,44.79,1800.0,0.0,10.3,normal
1697227191.413,43.329,1800.0,1.5,10.3,normal
1697227191.915,43.816,1800.0,0.0,10.3,normal
1697227192.42,43.329,600.0,0.5,10.3,normal
1697227192.927,43.329,600.0,3.0,10.2,normal
1697227193.43,44.79,1800.0,25.4,10.3,normal
1697227193.933,44.79,1800.0,17.1,10.4,normal
1697227194.44,43.816,1800.0,0.0,10.4,normal
